Source: CPS Annual Social and Economic (March) Supplement 201603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11th Grade,2369760,68573,3396,35698,54023,133087,20806,25993,4333,976,110006,63811,1583,18567,85777,69729,30913,33031,59613,38081,12149,13487,38322,81177,54448,25880,71213,9701,17620,12824,11817,53533,6466,103408,95159,6368,116995,43874,29328,153735,7759,58653,5362,88268,148765,39697,9021,49806,61018,24305,54523,7083
12th Grade No Diploma,846838,24709,2132,20229,11844,75967,12596,9676,4329,0,70431,11115,0,5840,30867,22848,3947,9610,20344,8110,2875,13363,11776,25759,13815,11954,8380,2512,8673,3859,6258,23267,3607,76631,17471,3072,30693,12593,15033,29907,5018,13294,1876,19802,39662,18749,3037,30711,21004,8465,17339,1789
High school graduate-high school diploma,22349244,413087,34995,321344,284584,1254455,311567,227464,86685,2530,1478201,647292,20770,148805,918431,721088,288110,233789,472762,332063,163295,289810,514044,942555,427718,195262,569459,110487,140932,210163,134673,634641,79331,1260450,670186,58383,1266617,359282,304671,1420393,85719,308239,75575,627621,1100378,208410,65051,521425,450708,287714,611059,56971
Some College But No Degree,15596641,227933,35076,392774,172001,1475788,318457,180689,36762,4690,872418,408555,21208,148088,592591,350626,216821,187601,247308,231771,106148,238494,325891,627163,258854,137600,338744,81385,119987,139804,88429,344489,78264,701708,519287,53519,759625,199397,330016,582538,60484,247268,53471,368441,1094150,222025,34108,408775,471190,95487,347283,41460
Assc degree-occupation/vocation,3605444,45454,4548,88855,37045,201655,91284,68092,10653,0,198855,78713,5051,31524,173644,105071,64991,13770,63818,59917,24908,45552,48430,154868,163615,47625,68842,25743,27353,22854,24965,30471,13130,141147,145736,17524,146279,47975,51495,165912,12080,78434,19746,99011,205309,55170,6985,69396,111722,31670,149267,9290
Assc degree-academic program,5626497,67610,11107,122574,54853,469448,117027,71413,19037,350,471523,149271,5543,37801,193237,135134,93984,59396,69895,70600,28801,130165,113911,203427,128990,55473,139832,16806,50660,46670,40790,119663,21545,331278,204739,19689,283687,66732,88448,257034,19868,99603,30121,85928,275109,83505,12556,132368,159414,33831,110531,15520
"Bachelor's degree (BA,AB,BS)",18136344,244288,40463,367952,154403,1673654,450717,252366,52739,43886,973660,484920,25059,96428,777604,360290,259004,214414,244444,218643,106036,268785,565510,609990,511758,96890,393967,70814,151960,112680,110351,588822,77629,1110116,557696,59044,591185,204996,287888,840344,69712,287502,58543,380231,1408797,180393,67435,525845,459701,91379,320094,35317
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",8216694,89788,18989,121978,44811,747893,182664,148819,27956,37070,388979,182819,10172,36916,386172,184894,73828,62837,151095,66244,39722,191167,337038,276338,199881,45083,244730,30345,52308,48438,52297,254569,39484,782229,231688,15708,296196,72031,135901,357817,39622,135528,19578,163918,459285,63580,33267,259340,194378,45155,119658,16491
"Professional school degree (MD,DDS,DVM,L",951298,7411,665,7317,9548,123348,22699,17723,2304,10641,56038,28803,2474,412,40365,17233,2293,8793,19760,7758,5491,26799,38819,17898,18059,3820,12781,1214,7169,7936,7004,15665,6587,129226,23753,2444,49074,6579,10604,34468,1696,13500,882,12166,32287,8151,3253,25008,22720,6390,13199,1071
"Doctorate degree (PHD,EDD)",1179593,15808,3720,44406,7015,144534,29559,10778,1863,8743,77472,27514,3246,4309,33790,23404,12342,9416,21854,14162,7691,31825,63426,43101,14153,6103,21255,5595,4556,0,8998,18371,9583,61780,46899,4535,33513,2869,19964,67499,2432,12772,2679,36532,59501,4955,2674,39656,15727,6501,28427,2086
 -> Total -> Total Female -> Total Non-Hispanic -> Total Black Only,20847136,691584,11134,153968,236157,1130077,103976,166062,105139,167234,1695038,1692370,11110,3514,912901,319269,50361,72674,178262,783477,2208,956125,256208,731040,159623,589815,364821,1855,42837,128254,8036,642801,14632,1495257,1152663,7496,750500,146477,39949,667362,39751,700948,6064,585372,1694092,13430,4460,823173,122200,27001,185104,3275
Children,4159473,132181,3590,37650,47685,205787,12646,32026,22464,27189,351910,344630,1231,1158,163528,59975,24960,14553,30593,169146,2208,188055,52357,152856,54226,124301,73729,594,16888,24560,2341,107704,2683,265207,219373,2533,169748,42795,11749,102266,9147,129110,3389,117825,349871,7195,2357,150112,45485,6883,38175,849
Less Than 1st Grade,44784,959,0,0,1048,3377,0,0,0,355,3315,1711,0,0,0,4953,0,0,4913,0,0,0,0,1731,1764,0,0,0,1734,0,511,0,0,0,0,0,2074,0,0,3626,0,0,0,1604,7031,0,195,3883,0,0,0,0
"1st,2nd,3rd,or 4th grade",62688,0,0,0,2349,0,0,0,0,516,3555,13866,0,0,4323,1539,0,0,0,2960,0,0,1660,1834,1746,2962,0,0,0,0,0,6250,0,6103,4302,259,0,0,0,3064,818,0,0,0,2218,0,0,2106,0,258,0,0
5th Or 6th Grade,110182,8222,0,2046,733,2047,0,4446,1147,1128,10719,12203,0,0,7744,3067,0,0,0,788,0,4605,3824,0,1768,3720,0,0,521,0,0,2542,0,10446,8708,165,4853,0,0,0,0,2499,352,0,2459,0,0,6997,2433,0,0,0
7th and 8th grade,375032,16247,254,2030,4077,8797,2192,2045,783,2654,38318,33472,647,0,12252,1481,3245,0,2494,17172,0,12508,10619,9263,3472,10775,4083,0,613,0,0,13474,0,40717,11024,202,14432,4163,2048,14382,0,19041,0,6406,23951,0,212,25286,0,201,0,0
9th Grade,421858,15879,246,1270,4046,12213,4682,2497,1505,2662,34419,26930,0,0,9308,3724,1130,1217,4385,19274,0,16958,1904,15622,3243,19446,10492,0,399,1356,0,11569,934,28316,35585,521,18078,3021,999,11921,1322,19122,0,17669,30898,2068,0,15263,0,0,9765,0
10th Grade,654442,17679,0,0,12640,12166,0,3849,2408,3267,59805,54466,0,0,24221,9327,2242,2281,2013,28875,0,21858,7747,17171,3343,27744,11215,0,0,4613,0,13146,0,46529,33548,0,24486,3342,3247,29383,3876,40873,294,33716,47624,2736,422,36691,0,946,4653,0
11th Grade,811268,27211,0,1836,7804,33746,2339,6117,5472,6025,81141,54888,782,0,52204,13872,1162,4089,9860,38034,0,24938,8927,24510,1913,37995,26248,0,628,7546,518,38789,1251,60564,51244,213,22861,4415,970,19253,0,23268,0,10128,37756,0,0,45405,9794,1054,4498,0
12th Grade No Diploma,400842,28641,0,7954,6424,10213,0,2101,1994,3431,44862,26869,0,0,14498,9387,1730,0,8770,14126,0,5597,6096,3509,3478,16245,11103,0,0,2109,0,9214,363,56765,13334,0,12192,0,0,11229,2558,15057,0,4339,25385,0,0,20462,0,807,0,0
High school graduate-high school diploma,4952530,169647,1524,22369,65172,251155,36493,40829,29759,49329,420156,391060,0,0,219073,89874,8848,6981,27286,209749,0,213065,57103,192252,18678,131304,80986,0,5837,35808,382,176811,2190,351871,234502,1061,218443,29498,3376,216333,10560,186187,895,145962,375334,1431,836,159352,6854,5708,50168,439
Some College But No Degree,3737493,135661,2593,42118,36349,260144,9356,35637,19895,25007,236311,272424,1503,2356,203803,47554,2189,13089,39088,130336,0,134630,38206,145402,35991,87765,87668,387,7719,27820,1331,101669,2623,221502,227144,1732,110212,31904,10333,108808,6300,122633,272,109674,362609,0,0,168936,22421,5982,39658,749
Assc degree-occupation/vocation,606677,25302,0,5043,3905,39528,0,1822,2418,3448,26990,40561,645,0,18445,20463,2190,3226,9675,25528,0,19930,5780,21363,0,15921,18781,255,1709,3622,0,13926,376,47051,33548,0,30754,5003,0,21984,1028,20828,0,15559,66652,0,192,17713,6315,969,7968,261
Assc degree-academic program,996231,39896,295,1727,11343,52368,9161,8297,4878,5568,96685,92298,1367,0,31621,18502,2665,8869,22442,30399,0,49838,15464,38859,1556,26773,13282,0,1143,7914,405,28198,893,75013,57680,274,26137,7903,992,31190,1389,27734,0,26712,62182,0,0,33780,9192,1374,11456,517
"Bachelor's degree (BA,AB,BS)",2224739,41927,2085,11540,22440,139424,17275,18292,9882,21002,188488,215995,3662,0,91644,17297,0,14483,10279,64771,0,146933,28040,66917,23560,60849,25459,323,4348,9308,1654,72998,1638,168421,155483,385,51897,7755,5118,60357,2090,49425,862,61528,215669,0,246,88005,13208,1637,9680,460
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1042017,29897,269,14756,6739,71386,4826,8104,1210,11371,77807,79519,1273,0,49881,18254,0,3886,2921,26707,0,87002,15089,37886,4885,18986,1775,296,1298,2072,894,39751,777,99800,52179,0,37342,6678,1117,31273,0,39733,0,26525,66566,0,0,44524,6498,1182,9083,0
"Professional school degree (MD,DDS,DVM,L",128123,1209,0,1759,2689,15701,2328,0,452,2519,16504,10259,0,0,6117,0,0,0,0,3888,0,16711,1989,1865,0,2910,0,0,0,0,0,2496,425,12756,3670,0,2348,0,0,2293,663,0,0,5037,6877,0,0,4658,0,0,0,0
"Doctorate degree (PHD,EDD)",118757,1026,278,1870,714,12025,2678,0,872,1763,4053,21219,0,0,4239,0,0,0,3543,1724,0,13497,1403,0,0,2119,0,0,0,1526,0,4264,479,4196,11339,151,4643,0,0,0,0,5438,0,2688,11010,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic -> Total Asian Only,9300526,51040,28197,121541,22521,3053001,64876,87133,21397,16070,269230,243665,294789,8958,374284,58168,43729,38682,29823,43151,18976,171730,247328,164684,100364,35828,50518,7117,19496,132458,16191,460395,16321,838742,109681,7149,125317,44480,81020,269647,20511,46501,2836,74123,726462,25542,4279,248113,274878,3276,84572,1736
Children,1487210,6935,5078,16152,2879,441650,7756,13416,4041,1192,36692,44055,27281,2303,66558,10731,8211,6558,8174,5120,4893,36951,38391,32297,11962,4293,3493,1249,613,21180,3680,86495,2258,157136,18975,1215,10724,12851,11757,41448,1323,11168,0,13003,159875,2188,328,35274,32943,497,13968,0
Less Than 1st Grade,112410,0,767,3844,0,38927,2199,0,0,0,1968,2130,1146,838,0,0,0,1138,3125,0,0,1923,3644,2171,6823,0,1998,0,1573,0,0,4651,583,11217,0,307,4912,0,0,8406,0,0,0,0,2241,0,0,3713,2166,0,0,0
"1st,2nd,3rd,or 4th grade",75541,0,840,0,0,37030,0,0,0,193,2439,2236,1532,0,3616,0,0,0,1568,0,0,0,4794,0,0,0,0,0,0,0,0,0,0,7267,2077,0,0,937,1201,0,0,0,0,0,5150,0,192,0,4469,0,0,0
5th Or 6th Grade,128673,0,1003,1793,0,39943,1756,2189,0,0,4335,2252,8568,0,4665,3858,1536,0,0,3145,0,4607,6572,0,0,0,0,0,596,2837,0,2958,0,16977,0,0,2917,1072,0,2299,0,0,392,0,3243,1898,0,2611,4651,0,0,0
7th and 8th grade,165803,0,259,2170,0,52332,0,1568,0,0,6301,2704,5194,624,4780,0,1231,0,0,0,0,2844,6602,2211,1843,0,0,227,730,1322,929,1952,516,25301,7268,0,6807,1571,0,2122,0,0,0,0,13070,0,0,4484,6448,0,2393,0
9th Grade,171222,1328,586,4082,671,51992,0,0,0,0,5569,2152,3089,0,3965,0,2449,0,3193,2080,973,0,3013,6995,4244,0,2266,0,0,744,0,9067,530,20419,3813,374,0,917,1257,6340,0,2719,274,0,17561,0,0,0,3394,0,4953,213
10th Grade,181922,0,769,0,878,49346,1888,3246,0,234,4332,9795,5003,1014,8821,3830,0,1110,1671,0,647,4523,3439,2295,0,2148,0,193,0,3531,1134,9689,514,17568,1683,0,0,2215,3841,6651,683,1418,0,1701,13043,1237,0,6502,0,0,5330,0
11th Grade,128675,2356,1313,0,676,32104,0,2076,429,322,4091,2188,2949,0,0,1957,1556,0,2103,0,0,0,4587,0,1526,0,0,0,825,6282,0,4861,0,14955,5731,258,0,1224,2609,10648,0,0,0,0,7653,0,0,7838,2954,0,2604,0
12th Grade No Diploma,137791,1080,1085,2404,0,52659,0,0,1017,263,2128,6725,1497,0,0,0,1285,1567,0,0,0,2410,0,4513,2257,0,4208,0,0,3684,535,2785,0,11084,1901,330,0,1275,1352,0,683,1528,0,0,9897,930,0,8345,6332,0,2032,0
High school graduate-high school diploma,1377939,9541,5323,13095,1333,397519,12383,10989,3133,1574,58476,46378,73941,2139,39522,13095,3994,11394,0,9733,5024,21640,37218,17306,9547,6779,6066,722,1495,29938,1535,48843,3859,153984,16436,1428,17574,2780,15703,40785,1816,5997,294,19574,90614,5118,523,42434,45967,329,12844,205
Some College But No Degree,1020467,6490,3885,14555,2134,411352,8972,11333,596,1102,26520,27958,41223,0,29938,4285,2895,1088,1640,8423,1886,22275,11983,13603,17287,16065,4425,2363,2481,17065,444,17962,2407,74578,10161,325,5447,4805,10713,33787,1221,2982,859,5437,68754,2648,0,25842,27186,412,10108,567
Assc degree-occupation/vocation,183014,1284,695,1948,0,57146,1883,0,0,0,13401,2391,15684,0,5835,0,1474,0,1753,0,1027,2246,0,0,3865,509,4220,0,752,3258,563,1909,0,4708,4960,0,0,1212,0,3979,0,3012,0,0,17683,986,0,13287,9292,0,2052,0
Assc degree-academic program,327419,1609,1941,9741,1508,134380,3871,0,0,0,10816,7436,11920,369,12794,0,1489,1344,1861,790,0,9989,5746,4410,6658,0,4630,751,734,4749,0,9289,1483,28598,0,0,0,2429,5696,5996,620,0,0,1841,12860,1724,236,6905,6577,0,3629,0
"Bachelor's degree (BA,AB,BS)",2329994,7576,2101,34623,5310,851488,17228,23438,5493,5284,56132,60165,72229,1147,116648,9632,14788,9734,1448,9892,3723,37634,57083,47330,22141,3977,13616,869,6050,33690,4098,125847,3157,158168,22430,2204,30411,7644,12051,71274,9347,12036,1017,18845,181114,6874,1822,47774,66870,1314,15028,200
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1086684,10258,1270,14894,4498,296264,4660,12091,3996,3326,19888,20451,14856,524,55299,3527,0,2388,3287,2024,803,20424,46015,27574,7963,2057,1733,743,3647,3286,3273,112312,1014,104090,14246,708,31670,1309,12561,25134,4315,4473,0,5809,87145,1939,718,38720,45045,392,3921,144
"Professional school degree (MD,DDS,DVM,L",147721,0,751,2240,581,37576,0,4598,846,1417,1899,2757,3456,0,19841,7253,0,0,0,1145,0,1877,10367,0,0,0,0,0,0,892,0,4041,0,13765,0,0,6092,1418,0,6489,0,1168,0,0,12652,0,0,2309,1884,0,0,407
"Doctorate degree (PHD,EDD)",238041,2583,531,0,2053,71293,2280,2189,1846,1163,14243,1892,5221,0,2002,0,2821,2361,0,799,0,2387,7874,3979,4248,0,3863,0,0,0,0,17734,0,18927,0,0,8763,821,2279,4289,503,0,0,7913,23907,0,460,2075,8700,332,5710,0
