Source: CPS Annual Social and Economic (March) Supplement 201903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Bachelor's degree (BA,AB,BS)",136102,2993,0,0,0,9673,2751,0,382,546,10849,8549,0,0,5452,1614,2193,0,0,3922,0,2131,0,0,0,0,0,0,0,918,795,19793,0,39500,0,0,4884,0,0,2969,1979,0,0,0,10439,0,0,3770,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",24056,0,0,0,0,0,0,4427,0,428,4133,0,0,0,0,0,0,0,0,1211,0,4838,0,0,0,0,0,0,0,0,0,0,0,2230,0,0,0,0,3604,0,0,1540,0,1645,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",395,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",5862,0,0,0,0,3546,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Asian Only,255835,0,1247,0,0,136131,0,3978,0,1144,5641,0,10412,969,7728,0,0,2564,3668,0,0,0,0,0,0,0,0,0,0,3704,0,0,4084,22848,15577,0,0,0,9923,7543,0,0,782,0,17272,620,0,0,0,0,0,0
Children,65335,0,472,0,0,40191,0,1875,0,703,0,0,3233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,0,0,796,2519,4981,0,0,0,1580,3200,0,0,343,0,4319,0,0,0,0,0,0,0
Less Than 1st Grade,1519,0,0,0,0,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",2217,0,0,0,0,2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,2682,0,0,0,0,2250,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,424,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,6088,0,0,0,0,2963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,3601,0,0,0,0,1792,0,0,0,226,0,0,0,0,0,0,0,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,5206,0,0,0,0,4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,44538,0,0,0,0,22764,0,2103,0,0,0,0,3289,537,0,0,0,0,3668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100,5596,0,0,0,1861,0,0,0,0,0,0,620,0,0,0,0,0,0
Some College But No Degree,55834,0,201,0,0,23527,0,0,0,215,0,0,460,0,5083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,7871,2671,0,0,0,4435,2043,0,0,439,0,8483,0,0,0,0,0,0,0
Assc degree-occupation/vocation,7744,0,0,0,0,6341,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,12797,0,0,0,0,8484,0,0,0,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",38478,0,574,0,0,18425,0,0,0,0,1618,0,1927,0,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,0,0,1231,6518,0,0,0,0,2047,0,0,0,0,0,2052,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",6268,0,0,0,0,0,0,0,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840,0,0,0,0,0,0,0,0,0,0,2418,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",2123,0,0,0,0,1592,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic,123917343,2160803,260803,2294733,1236852,11119844,2181299,1279254,414066,278921,7269702,4301342,414935,717296,4939343,2797785,1402468,1161448,2060314,1959712,600281,2502620,2900789,4587793,2700067,1332880,2660285,463112,784432,1020290,635679,3468187,409983,7457132,4279519,339084,5217442,1368134,1659085,5490479,401077,2230193,356667,2916445,8099857,1278849,290684,3490726,3029840,835921,2612686,246205
 -> Total -> Total Male -> Total Non-Hispanic -> Total White Only,96052983,1553891,221863,1967967,1027335,7371391,1996871,1037922,292062,126502,5492813,2487341,150648,701046,3757695,2435547,1309985,1057891,1853417,1275717,583858,1572598,2400410,3727261,2364875,821119,2302703,456710,712325,799393,616182,2483674,386807,5352403,3084134,320179,4398430,1194262,1548334,4602835,356046,1588163,344084,2341327,5751427,1238588,279646,2382544,2497009,797817,2389617,240319
Children,15441990,251193,41241,252153,187978,1036251,290472,166492,43216,13083,700012,441735,14367,136308,600772,431063,251513,200281,338491,234578,88865,259583,353138,617260,384302,162451,400859,82379,131086,110092,91335,400884,36898,861219,454113,60624,771152,203978,214670,719808,51533,260682,69154,424153,942547,295770,40984,396072,374935,131215,377670,41380
Less Than 1st Grade,64094,1982,0,0,0,11713,0,0,0,0,0,0,365,0,4147,0,0,1557,0,0,0,3090,0,3444,1847,0,0,0,371,0,1299,1086,0,4040,7441,202,0,0,0,1613,0,2825,0,5821,4859,2218,1230,0,0,1816,1128,0
"1st,2nd,3rd,or 4th grade",96263,2895,0,0,6873,8197,0,0,0,0,6743,0,0,1133,1943,0,5893,0,2766,0,0,0,2592,0,7311,0,1806,0,0,1809,0,6299,0,0,10079,1202,9056,0,3461,0,0,0,0,6543,3465,657,0,3735,0,651,1154,0
5th Or 6th Grade,188606,5780,0,3504,6402,17086,3670,0,364,0,13350,20793,0,462,8112,2894,0,0,2455,5633,1159,1938,4747,3804,3372,862,7074,0,821,0,1184,0,0,6265,9879,540,6823,0,0,3312,0,3145,906,3947,9734,876,332,7429,11311,8525,0,116
7th and 8th grade,1263153,33741,1900,13399,18684,53128,16196,9776,3485,605,41480,23752,0,11479,42101,62348,21990,15193,40778,35265,5576,12419,17481,26037,27701,18124,35026,5240,17152,4967,10085,31497,575,48752,45222,4457,64145,26603,16866,113751,7490,21098,9260,27207,71809,10311,4455,33044,33332,23337,42757,2077
9th Grade,1585188,35908,2680,16750,22193,72335,20407,15406,1527,397,88018,38961,2456,8829,69802,38663,14332,13067,63670,23265,13798,27041,23133,64493,33432,18008,35760,5046,12301,10972,6546,30736,5451,86607,57764,4189,77945,23911,29107,89012,7955,30487,7436,30570,110069,23632,3187,33024,41418,32994,55538,4960
10th Grade,2070931,32522,3804,39319,36624,127167,23370,18295,8900,1372,87657,60159,750,14197,76737,90202,28044,26033,63283,30707,23204,39803,39838,99638,53745,23439,58524,8844,10254,12699,15331,42605,6182,100195,74835,6456,105951,34813,25303,113273,7374,33771,7935,42686,121501,22318,9348,44965,32755,28471,50579,5154
