Source: CPS Annual Social and Economic (March) Supplement 201503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11th Grade,2400896,62075,4919,14385,36375,147576,21281,30863,6519,192,125912,67113,1382,19708,68098,59224,23463,25495,84240,43936,16435,34335,51981,114449,54388,18805,55259,10450,19381,17624,12508,45068,5718,105423,76818,3629,137011,45044,44516,128867,11171,45267,5688,72375,127306,30211,5141,79481,77262,32013,69368,5148
12th Grade No Diploma,942933,18771,1349,17607,20767,70399,27493,7537,681,318,75532,9287,290,6612,61544,18493,8697,12233,20072,19553,9858,11288,6426,34878,16032,11284,9767,4754,2788,8502,3861,21495,4990,82744,37024,4014,52991,16497,4442,10162,5789,26366,1698,29467,50478,4947,2643,25518,19242,5743,18537,1473
High school graduate-high school diploma,23039536,408603,33549,284499,332939,1308157,313038,228498,81433,2491,1559212,636790,18358,141701,933540,799988,319618,226480,459037,340437,180374,302668,524851,983540,422712,223658,542007,96047,153661,166716,133580,622165,74319,1272358,762502,58064,1371181,366848,338183,1422714,92735,411305,76057,627314,1234009,226108,65896,512326,498828,263290,524848,60304
Some College But No Degree,15474218,236126,36298,333584,145633,1472267,290680,163605,42731,3068,847170,493965,21963,138873,595892,332442,214370,183337,269207,245312,84652,235840,273185,617935,291018,139643,426306,79772,118996,145521,101757,369620,68064,661384,507987,58230,664651,200417,292811,589602,58786,250394,58450,338822,1085626,220134,41907,399790,438650,118931,427014,41800
Assc degree-occupation/vocation,3733791,54753,5475,67505,28980,234309,77781,55368,7842,159,205998,86230,2610,25180,149121,93198,90640,37783,66310,40894,22726,55927,68825,131773,135310,41174,76717,20153,41822,23837,22587,73002,12466,176356,137022,19319,165427,58274,60218,182598,15159,75561,20427,72079,238561,52736,8719,76346,100115,34187,174544,9688
Assc degree-academic program,5231034,64728,10651,113341,51820,432726,86087,71618,15742,1725,407550,114509,9462,38275,182031,134786,85496,62877,87007,46156,34738,100153,169937,189101,115080,43356,107165,17087,43344,44045,44178,103150,27705,337567,154467,17923,223152,58048,92622,265170,21530,86364,23165,99725,259081,73689,16132,124026,160234,37633,105818,19062
"Bachelor's degree (BA,AB,BS)",17678869,240977,38322,383486,156171,1679889,448558,266280,54114,38131,1005412,430894,23765,101466,781493,370720,217965,191020,240732,188309,96450,291017,533014,561709,476688,96827,420740,84107,134555,110614,111625,573358,87632,1106649,536032,57156,640868,199704,262230,819329,79664,224639,56654,391207,1187919,187257,60229,505437,480232,86407,330217,30999
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",7785135,109571,17816,121572,39034,706391,192341,153700,31129,38517,296699,171010,14974,35299,386878,149108,69417,71679,133855,64974,43812,201620,323193,251411,174557,47690,203940,30563,50884,45673,52603,229273,46004,706792,214475,16771,277075,65809,113955,383986,37937,97546,20798,150147,416714,52929,32800,256622,180976,45576,192479,16561
"Professional school degree (MD,DDS,DVM,L",999375,20297,1416,4571,8273,124420,11333,20225,1246,10933,53967,38847,2005,2575,45461,17712,10836,8784,10640,10354,4908,20691,41541,15380,14948,10349,10209,3195,3055,5890,4207,38837,5206,125832,14049,2360,22195,6930,16748,33386,2997,10135,643,20216,67889,6232,4903,38459,25295,3461,14004,1330
"Doctorate degree (PHD,EDD)",1067833,9425,2147,36755,2997,114816,29809,22784,5044,10932,71218,23757,3094,5798,42498,13343,16158,8815,10342,10400,4233,23446,49092,26461,24348,8106,25639,5911,7373,4330,6461,34176,11555,57258,22558,3576,30036,6449,20972,55665,4303,13653,4269,35080,66279,790,3219,31971,12529,7816,18241,1906
 -> Total -> Total Female -> Total Non-Hispanic -> Total Black Only,20541103,686429,7401,137466,241744,1073505,100763,160485,99508,165359,1653563,1674293,13880,5125,892815,325719,47655,80794,177000,772021,6229,914143,253615,725638,155709,588122,373060,2558,39954,123535,7544,648695,20492,1441486,1131544,6773,749710,145110,33478,698428,30325,695461,5975,589531,1658957,17475,4438,826401,128374,30174,171097,1547
Children,4130432,137621,2756,23973,55686,193808,18359,29406,19978,25628,337033,344961,0,2593,149621,75569,11779,11144,38718,164985,1883,171613,53218,140884,46301,124298,81111,670,15940,24204,1292,128753,4386,240463,223251,2732,157788,32929,7037,140146,5612,136785,2338,127670,361785,5415,3237,164832,34340,5231,40670,0
Less Than 1st Grade,62633,0,0,0,0,8029,0,0,0,0,6175,0,0,0,0,0,0,0,0,3508,553,0,9512,4011,6064,1704,0,0,483,0,0,0,0,0,0,0,0,2504,2972,1380,768,0,196,2611,5842,0,0,1528,3287,0,1506,0
"1st,2nd,3rd,or 4th grade",59977,813,0,0,2415,0,0,0,0,349,0,2972,0,0,1906,3455,0,0,0,4995,410,4350,3097,1677,1483,2520,0,0,0,0,0,3961,0,6945,4145,326,0,0,1331,0,0,0,0,1991,6896,0,0,1805,1341,794,0,0
5th Or 6th Grade,61243,1777,0,2024,1312,2228,0,749,0,779,2560,5973,0,0,0,0,0,0,1533,6665,0,2812,4289,1559,3148,2927,0,0,460,0,325,0,0,11397,1985,263,0,0,0,1287,955,0,0,1336,0,0,0,1821,1079,0,0,0
7th and 8th grade,295311,11131,137,0,1360,7896,1622,4395,1257,1275,27724,20578,0,0,4185,4040,3036,669,1378,14352,0,10339,6003,6445,2216,19382,3654,0,423,1567,0,8280,405,28695,17776,587,12199,1251,1529,16519,355,14430,196,9496,15984,0,0,7583,3531,0,1431,0
9th Grade,460210,15590,0,2158,2879,21686,6181,7973,1885,6118,45330,33561,0,0,14300,9055,0,2431,4598,21547,0,20848,4231,21968,3268,13396,5045,0,0,1391,0,2039,649,36604,28649,146,17786,1099,0,15609,534,20508,272,12349,36500,1383,0,15292,0,1426,3926,0
10th Grade,655189,10669,0,2030,8340,12953,1954,8663,5183,6761,74434,48339,543,1119,34873,21410,2144,2576,3984,23519,0,25807,4499,20748,6828,20657,1617,0,332,807,0,22682,450,46635,37386,469,22780,1016,4668,21235,0,31628,0,22989,41163,0,0,32000,4006,1766,13527,0
11th Grade,837479,31535,0,4961,10861,47449,1985,4505,5671,6416,81099,62147,0,0,46360,14095,4868,3790,3338,34766,598,29431,5716,40464,2690,29590,7526,729,1196,8021,0,34763,0,51557,25825,275,42737,2597,2716,15587,3106,37046,0,17524,53267,1169,0,44740,4079,3895,6789,0
12th Grade No Diploma,405706,23359,0,0,2809,29267,2887,0,3824,1375,23969,30656,0,0,13335,7843,557,0,2596,24916,0,8578,6864,15391,4857,14688,7247,0,581,2727,396,2462,496,39544,18069,157,10768,2671,0,6702,0,19224,0,8464,24206,0,0,44221,0,0,0,0
High school graduate-high school diploma,4956567,209916,1409,13342,63762,220412,26528,37810,23744,42353,455496,409469,5740,842,195160,74295,10663,14671,41169,224329,941,197403,42047,172710,22934,148200,87574,328,4611,29457,1587,162894,5415,316727,262338,454,225968,30711,6091,238779,6232,195259,1662,143417,354582,2768,373,140581,25497,4977,51786,1154
Some College But No Degree,3583735,94804,1262,40951,48854,226684,15834,24971,17587,27250,234204,289321,3335,571,210980,63951,8110,20110,48056,107191,690,176942,39204,163035,25462,83084,84292,374,4941,26029,0,101499,1844,220696,184761,981,118882,36652,5570,107132,6332,103149,1112,88516,320500,5651,0,132959,30027,7708,21685,0
Assc degree-occupation/vocation,709809,37814,0,10747,7177,54142,1561,3640,2496,2374,54346,55362,0,0,18698,11181,2575,761,6034,33610,0,14059,6913,20613,2560,17120,25980,290,2483,1321,414,26682,1909,43601,58206,0,20019,6766,1564,26146,1087,20147,0,18144,53672,0,0,23937,1456,1361,10448,393
Assc degree-academic program,956595,29317,381,6154,6642,61553,3281,15173,4017,5608,86221,63731,570,0,40204,13144,1131,14805,8977,19992,571,39153,9837,32749,6386,38186,7384,0,2001,6217,1165,33507,2690,90400,48046,0,34795,4337,0,25470,0,20457,0,25805,78705,0,0,53509,6042,1193,7089,0
"Bachelor's degree (BA,AB,BS)",2142531,55105,745,17540,22043,125041,12746,11309,9785,22238,146697,184990,1455,0,113686,17308,1809,5619,7090,53359,583,132337,26015,62023,14702,47741,38182,167,4228,17072,2365,88425,1357,188019,141740,266,47121,15624,0,52977,3874,58420,0,65097,211358,0,392,103644,5388,1374,3475,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",991758,22047,486,13586,6893,48609,7825,9519,3360,11774,64203,94123,1655,0,39266,8562,983,4218,7774,23594,0,54717,28532,17941,6810,19707,20147,0,1875,3320,0,30340,426,96740,70060,0,25616,5469,0,26241,1470,35688,199,34468,82537,1089,436,43300,7388,0,8765,0
"Professional school degree (MD,DDS,DVM,L",113703,4931,0,0,711,7348,0,2372,378,3178,7785,7769,0,0,10241,0,0,0,0,7415,0,15843,3638,0,0,4303,3301,0,0,0,0,0,465,16884,0,117,1835,0,0,0,0,1168,0,3573,3602,0,0,5484,913,449,0,0
"Doctorate degree (PHD,EDD)",118225,0,225,0,0,6400,0,0,343,1883,6287,20341,582,0,0,1811,0,0,1755,3278,0,9911,0,3420,0,619,0,0,400,1402,0,2408,0,6579,9307,0,11416,1484,0,3218,0,1552,0,6081,8358,0,0,9165,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic -> Total Asian Only,9039346,32017,31743,131049,28456,2860842,63781,107128,18265,14687,302556,197614,279910,9713,359142,76940,39822,61169,49337,50702,12930,194157,244519,181896,142279,13489,43329,3793,21812,116201,17505,401588,26785,986378,128867,6882,115671,34289,108979,223538,19964,33365,3509,47239,554772,23276,4309,291735,252243,6177,60590,2407
Children,1474105,2831,6534,17120,5385,433182,6286,20240,4186,1342,51208,32719,29327,2237,61438,11525,4999,13254,13219,5225,2764,24373,39398,57151,33377,2226,3091,0,3298,11690,3278,71563,4166,164935,30602,1088,15218,8952,15723,40406,3027,5934,756,9550,99997,3274,571,45092,29696,402,19650,600
Less Than 1st Grade,97169,0,476,4278,0,37362,0,3373,234,0,0,0,652,0,2256,0,665,895,0,0,1022,0,2102,0,14777,0,1945,0,1102,0,0,0,0,8972,4012,0,2276,912,0,0,379,0,0,0,1887,0,0,5183,2409,0,0,0
"1st,2nd,3rd,or 4th grade",115764,0,0,1941,0,50018,1880,0,0,0,4608,2233,4002,0,0,1846,736,4710,1801,0,704,2588,5284,0,1999,0,0,0,0,819,0,0,0,15808,3756,0,0,0,1237,5707,0,0,0,0,0,0,312,0,3775,0,0,0
5th Or 6th Grade,150283,0,1710,0,0,40889,2368,0,0,0,7144,0,7666,660,3851,0,680,0,0,1043,0,0,4252,1895,4193,0,1785,0,738,743,0,0,0,41661,5320,0,0,0,0,1980,0,0,366,0,10570,0,0,0,9294,360,1115,0
7th and 8th grade,175361,1009,414,8967,0,38128,1158,2208,0,0,7786,0,2943,743,3411,3680,3679,1728,1248,0,862,3222,5647,0,1042,0,1783,0,1266,0,783,9976,0,26988,5037,0,6461,0,2580,6453,764,0,0,0,10636,722,0,9201,3447,0,1389,0
9th Grade,184444,0,674,7848,0,49334,1343,0,0,0,10339,1984,4537,0,8525,0,628,4006,3204,3020,626,7186,5677,2090,4440,0,0,0,0,1349,275,5805,0,22317,5654,0,0,0,1099,5268,338,0,189,0,5782,0,0,9746,7040,333,3788,0
10th Grade,210067,0,654,0,0,66841,0,8962,310,0,9724,5660,4635,0,11970,3286,1017,1998,2948,0,0,5280,7621,0,2210,0,0,202,0,3146,0,10721,0,17680,0,642,1988,1695,6842,5900,496,1214,189,1654,8982,0,0,3670,10553,0,1028,349
11th Grade,153483,1840,1038,7744,0,35473,4680,1723,1096,0,3783,1899,3871,483,3189,0,784,848,3314,848,0,1337,2429,1906,5285,0,0,0,1187,0,249,3422,1712,23435,3658,0,2165,0,2082,8957,948,1076,0,0,11501,0,0,6928,2357,0,0,236
12th Grade No Diploma,126817,0,887,1928,1701,49386,0,0,0,0,6288,1948,1648,592,1869,1383,0,0,0,1744,0,3146,0,5593,6465,0,1975,0,0,1818,0,4592,446,8714,3398,0,0,0,1169,7277,0,0,0,0,1929,0,0,9580,0,0,1341,0
High school graduate-high school diploma,1368496,6568,8072,19777,3614,377049,15534,13212,3444,170,64763,34716,64488,889,55164,16901,6103,11108,4277,7828,2673,30922,37950,27104,9489,2032,3669,668,3045,25838,3413,39286,2545,144276,9223,1333,20948,4319,23583,38335,5001,2288,494,12436,89103,3986,665,44529,59737,710,4734,485
Some College But No Degree,977452,3370,5009,14571,5476,363869,2056,3291,188,979,24020,23163,44222,414,35119,2084,5103,1020,2781,5060,424,16778,24372,12859,21069,815,1656,1433,2841,28727,1489,20835,4723,93614,5033,2018,12160,4681,14346,21899,559,3373,0,5923,56726,3575,546,30928,26227,469,15170,389
Assc degree-occupation/vocation,185275,0,721,1565,0,61705,0,0,255,0,6527,2272,14933,615,4242,0,1227,0,0,2468,0,3686,1665,992,1388,527,1913,0,1384,5740,0,11998,0,17895,1897,0,4463,0,3494,0,400,3422,430,0,13565,0,0,4610,7338,0,1938,0
Assc degree-academic program,308282,0,1147,4625,616,97457,933,1635,365,0,8299,10174,17305,781,8088,3206,0,870,0,1761,0,8404,5908,8565,9924,0,4079,0,666,5213,1073,9406,1344,27062,2265,0,5424,1090,2390,4431,274,7082,0,1690,15379,1076,0,11537,14353,374,2011,0
"Bachelor's degree (BA,AB,BS)",2268136,5214,3693,22555,5425,813365,21189,32421,4178,6023,76543,52314,56010,1736,114297,19175,7140,10057,5506,12095,2989,50346,52498,45863,18513,5853,11210,1285,1431,27298,5460,129466,6549,249117,37840,1578,15945,6535,18310,38808,5891,6559,472,7019,125821,7913,1450,59052,52403,1431,4102,193
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",863738,7712,228,13760,4716,251356,3459,8169,2969,4477,16934,18451,15565,563,36482,11549,5914,6650,11039,0,538,23366,35626,15909,6007,1075,6263,205,1446,1959,1138,69522,3893,85314,9317,223,11971,951,11796,21785,883,1076,298,1690,70244,1821,303,40107,18658,361,0,0
"Professional school degree (MD,DDS,DVM,L",171889,2541,208,0,1523,49237,0,7676,221,1126,4590,4025,3471,0,1973,2305,0,0,0,1156,0,2800,8856,0,943,0,3960,0,593,797,0,6007,0,20013,0,0,11174,1259,2168,8391,672,0,0,0,15499,0,0,2902,4956,692,0,155
"Doctorate degree (PHD,EDD)",208585,932,278,4370,0,46191,2895,4218,819,570,0,6056,4635,0,7268,0,1147,4025,0,8454,328,10723,5234,1969,1158,961,0,0,2815,1064,347,8989,1407,18577,1855,0,5478,3895,2160,7941,332,1341,315,7277,17151,909,462,8670,0,1045,4324,0
