Source: CPS Annual Social and Economic (March) Supplement 201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Assc degree-academic program,39518,883,0,0,0,8011,0,0,0,220,10647,0,0,0,0,0,0,0,0,0,0,0,2289,0,0,0,0,0,0,0,0,3158,0,8656,0,0,0,0,0,0,781,0,0,0,0,0,0,2257,0,0,2616,0
"Bachelor's degree (BA,AB,BS)",81095,0,0,0,0,13670,2283,0,473,0,2646,0,555,0,3112,0,0,0,0,0,0,4101,1245,0,0,562,0,0,0,0,549,6762,0,9745,0,0,5297,0,0,0,0,1377,0,0,24467,1080,0,3171,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",25257,0,0,0,0,0,0,3939,0,840,7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8450,2198,0,0,0,0,0,0,0,0,0,2379,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",4404,0,0,0,0,0,0,0,0,224,2460,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",2764,0,0,0,0,2613,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Asian Only,311498,0,626,1801,0,184350,8930,0,0,481,12345,0,12502,0,10165,0,0,2015,0,1711,0,16052,2266,0,4729,0,0,0,0,4327,0,0,6694,9680,4762,0,0,0,1288,0,0,0,689,1098,11216,2764,0,2610,8397,0,0,0
Children,94183,0,352,0,0,41427,3528,0,0,187,4653,0,2659,0,7568,0,0,2015,0,1186,0,9754,2266,0,0,0,0,0,0,1710,0,0,4274,4319,2472,0,0,0,1288,0,0,0,0,0,3147,1378,0,0,0,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",2211,0,0,0,0,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,2917,0,0,0,0,2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,3620,0,0,0,0,3620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,3937,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2411,0,0,0
10th Grade,5911,0,0,0,0,5170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,10331,0,0,0,0,4293,3535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,10799,0,0,0,0,10524,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,48936,0,0,0,0,34792,0,0,0,0,0,0,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027,2290,0,0,0,0,0,0,0,0,0,4971,0,0,0,3129,0,0,0
Some College But No Degree,63047,0,0,1801,0,40131,1867,0,0,0,0,0,3333,0,2597,0,0,0,0,0,0,3795,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,689,1098,3098,1386,0,0,2857,0,0,0
Assc degree-occupation/vocation,7735,0,0,0,0,4575,0,0,0,0,2489,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,16731,0,0,0,0,7696,0,0,0,0,3429,0,640,0,0,0,0,0,0,0,0,0,0,0,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610,0,0,0,0
"Bachelor's degree (BA,AB,BS)",31272,0,274,0,0,22532,0,0,0,0,1774,0,2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,3334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",6300,0,0,0,0,2781,0,0,0,0,0,0,621,0,0,0,0,0,0,525,0,0,0,0,2373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",3568,0,0,0,0,1681,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic,123912896,2130400,237549,2095687,1237426,11187563,2031639,1413190,403699,275202,7391778,4303393,403988,724035,4935382,2884908,1369779,1153200,2027595,1979267,607562,2493766,2824976,4532830,2622180,1357954,2657374,465288,776978,958474,625714,3523186,406931,7822599,4191610,330351,5262595,1367085,1724778,5525121,409167,2213554,368615,2985618,8021724,1281700,288661,3333110,2976734,857814,2675339,237828
 -> Total -> Total Male -> Total Non-Hispanic -> Total White Only,96305392,1499833,207514,1776947,1015447,7379959,1877531,1162770,280330,124959,5638723,2619931,135581,702265,3766994,2544014,1271258,1034019,1834726,1267133,590369,1544609,2343602,3707816,2274849,837177,2288417,459621,711583,749787,593949,2538278,378331,5552629,3051125,314315,4479876,1180622,1618620,4638604,361924,1579316,353624,2445467,5796833,1242311,275882,2342177,2437610,821654,2422584,231897
Children,15630235,253621,34195,253738,172648,1071280,297467,177274,40619,13167,757411,471581,13203,133654,627949,491244,243887,178154,340523,226928,93023,249314,347408,614867,397951,144295,428397,79965,134886,100680,87403,386820,44596,840753,458466,57025,799600,198308,234347,738776,43501,259142,68871,431046,977477,287419,41903,360216,362053,129516,390927,42741
Less Than 1st Grade,77763,819,0,0,4544,3599,0,0,616,0,2641,0,0,0,1712,0,0,2073,3588,1500,1380,6592,0,2296,0,0,4576,396,1173,833,0,3628,663,6707,4563,508,5325,4106,1526,0,0,2589,683,2928,2177,736,1498,0,0,1626,0,162
"1st,2nd,3rd,or 4th grade",63437,5286,0,0,3931,7067,0,2238,0,331,7800,0,0,0,10322,0,0,0,2878,770,0,0,6483,0,2149,1175,0,0,0,0,0,0,416,0,1443,0,2997,824,0,0,0,0,324,0,0,0,263,3210,0,1750,1438,342
5th Or 6th Grade,204992,3428,0,1609,3628,30189,0,1136,456,0,0,14606,456,800,10368,5279,0,1213,5843,7239,1158,0,2984,18233,5195,7622,9229,0,1977,3315,0,3731,780,11914,5756,543,5464,1006,1173,3771,0,1425,0,8816,2088,0,0,17374,0,5041,0,147
7th and 8th grade,1438623,33611,2269,26204,23648,60388,20369,12455,3346,294,59936,34532,841,4906,73727,35918,17136,12473,51350,44101,12290,15597,29922,30053,19600,19946,40158,5626,11138,8214,7853,34925,1387,65026,44177,5024,90096,17843,15619,87286,6909,19129,10346,65507,84815,9624,4034,36816,31306,21996,64779,4078
9th Grade,1568100,27338,2850,21238,27380,51800,5647,9787,5521,1063,75285,43094,390,13091,49246,44564,32468,15656,52108,32092,10714,27268,33000,77403,23660,27031,50769,6937,10396,6777,10574,26723,4277,72457,68839,4189,52142,17588,22932,128654,5463,35489,5461,33835,133089,20359,3633,52841,33245,28293,20570,2874
10th Grade,2173605,44205,5428,37791,31552,123681,39934,22759,8099,349,128627,45543,0,17308,73128,86434,15456,20920,63291,38377,19597,42798,33814,68661,35134,35280,70491,8989,11382,12424,14775,45891,6165,109549,117363,6482,130930,24176,19342,123085,9500,39068,8255,50277,97077,29214,5574,83771,20685,34561,51667,4746
11th Grade,2388233,44127,3939,41449,38117,154593,40007,37117,7769,342,138334,69170,832,22727,75088,71379,33388,28406,62495,38204,18125,35604,50655,93698,54684,28774,84805,10290,19928,16197,18896,55029,6592,91127,84364,7266,115368,43415,32935,126430,6791,26309,8842,60343,117301,39817,8246,56806,61869,23189,70114,6941
12th Grade No Diploma,908359,23562,1856,35119,22177,83556,25500,6657,5694,181,67748,24626,680,4655,32097,18755,6746,4338,29109,14745,1493,13049,11178,49589,8414,12102,31942,3607,11874,2737,1350,8875,5392,54506,19411,1569,25667,10519,23857,20538,7889,18555,3353,33752,53964,11910,2872,13346,17102,4282,12997,2867
High school graduate-high school diploma,22492435,367414,52772,289577,264002,1200052,249194,244663,81399,1562,1456217,631595,27845,160686,846840,710806,345653,242523,544788,338982,197731,275239,536059,877052,524176,203515,581956,112926,159400,224543,160991,550525,89532,1208364,675176,83828,1225770,325760,346040,1331858,89523,354369,90803,621999,1200219,225769,79090,448991,546304,298102,724565,65690
Some College But No Degree,14158130,225204,42577,304556,166732,1242299,273807,126100,33306,4796,726436,367466,16749,134125,582074,393676,160093,167117,247546,183032,60516,205431,297309,613860,340503,135644,344946,85169,113167,160225,75465,359886,72544,638396,469158,43396,660140,182259,302932,468004,53098,231068,43576,332208,1004067,211222,25608,303753,431538,107475,351461,36415
Assc degree-occupation/vocation,3531892,56321,4032,67075,36271,240290,76822,21008,6939,1251,162406,90025,4539,27738,123399,96670,77322,46293,71734,61393,20277,36409,37088,134440,217399,36915,61291,22208,49100,32969,15832,52623,15013,123031,143578,20676,155169,37093,56191,160357,9270,55270,25918,85106,190480,50952,8836,79502,129865,22935,160399,14172
Assc degree-academic program,3848831,48461,12147,100463,39114,308633,70038,46623,14898,1503,392136,89996,7184,23378,179296,73363,48917,35243,48717,29863,23719,31704,69262,152220,106938,39343,55206,10234,26957,31632,18040,82747,13109,264295,110424,17844,187440,37855,73154,171434,19695,87686,12777,97558,173930,64659,10777,69706,93362,26818,88396,9937
