Source: CPS Annual Social and Economic (March) Supplement 201703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11th Grade,2223360,59406,7351,36363,28223,153154,29422,19684,5217,222,139736,53757,775,14331,64252,68048,27059,26294,47922,49936,17402,26580,33253,94870,50063,22878,66598,9900,14419,17808,12597,28838,4406,131210,77722,5716,104505,25336,38925,133641,9290,40862,8227,56404,134753,28223,8339,52426,62583,27123,42588,4723
12th Grade No Diploma,852306,16525,1605,22929,14011,102523,8568,9168,2124,515,58296,23349,787,7239,20334,18560,2523,11748,16211,5780,5261,11168,25288,40126,26120,7008,13881,4360,7665,5769,3084,10747,2267,58450,27713,1979,24445,10416,11850,31502,4926,25791,4725,16492,46298,13678,2365,28026,15218,6723,14619,1551
High school graduate-high school diploma,22004865,467494,35718,354325,297469,1149488,301461,251665,95189,3606,1394097,726362,23548,141504,863131,648031,301304,212514,470977,342251,162239,298517,459417,852930,386637,182736,536101,103116,124346,217957,153929,656040,71830,1235751,601805,64521,1354206,337251,307961,1386936,70975,293967,83810,616578,1275427,190498,71710,447174,449833,272681,596878,60974
Some College But No Degree,15268325,237128,32416,438048,183032,1312097,274889,149015,36546,6311,986328,346740,18020,149750,632175,372599,230126,174917,318075,209672,100240,225404,323224,597526,320833,153929,304865,80918,133017,156602,85286,364902,67929,636514,469634,48172,606258,196503,320954,539517,58853,242793,46108,388836,1090443,226720,40686,422056,433851,102940,328011,46917
Assc degree-occupation/vocation,3740941,40993,6699,45476,46664,232297,75403,31029,6460,730,194809,98443,3000,25779,137249,96193,74877,26034,105028,67176,17732,23498,66984,131621,180378,37656,118081,23806,33432,22846,20990,61033,13426,178138,183046,16556,170528,31105,50952,195236,15389,101887,19924,120362,174836,34879,8182,85159,104850,31851,142882,9357
Assc degree-academic program,5744644,74225,10837,115817,53410,504544,120072,78699,18963,645,496504,124274,4655,33931,161001,120087,88934,66679,92729,51362,42310,78403,163518,232864,128186,78310,141355,18439,58329,52923,36826,128879,16751,347557,205789,21498,311264,51472,73578,296680,18974,81323,20920,130098,257447,83235,13709,124820,148409,44934,103896,14580
"Bachelor's degree (BA,AB,BS)",18647028,228568,43602,357688,145141,1730591,480724,283071,57200,42495,1038354,493316,33929,108028,816883,440714,270781,220388,186753,224078,97474,283975,568804,679898,424423,110696,402404,84831,145316,97252,113314,563392,78522,1062340,593055,63187,681602,236820,312984,869417,91080,319810,59549,426322,1243339,194619,57747,554373,482707,96662,415750,33060
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",8444851,93392,17416,153396,54982,759250,226447,141794,19365,36514,427541,181707,15784,38659,396755,210617,64273,71057,152664,66711,41407,281938,314538,295602,193543,51456,201707,31144,46637,33250,56078,255849,43905,750884,243176,16851,267406,92583,137574,347538,35578,131277,18248,137908,523069,57599,28934,299839,193617,41682,130907,14803
"Professional school degree (MD,DDS,DVM,L",1041011,17917,1244,6721,3687,112858,15952,20802,1830,11530,61969,52827,3037,4159,32674,20795,8177,4021,24324,8019,6671,30382,44864,50290,14704,2540,8937,1668,5648,10211,4918,30617,8357,109457,41742,797,50925,4575,10870,47553,5287,13021,913,27073,23798,6206,1301,29799,17905,8577,7280,1582
"Doctorate degree (PHD,EDD)",1171668,13516,5454,54223,14416,123511,41428,11695,1492,9240,76312,14448,2591,5131,48177,20242,7115,10627,15816,14192,11200,30020,42742,32957,10221,12214,15289,4722,3644,6203,7411,18343,9226,53097,55596,2244,47773,12887,25988,52603,1405,14226,5049,18578,66464,15380,2235,42523,25189,7183,28572,858
 -> Total -> Total Female -> Total Non-Hispanic -> Total Black Only,20868636,692378,9518,163886,242255,1079146,97215,178154,108142,170817,1634974,1735585,9034,6711,942756,328489,48113,82341,169397,788217,8150,929699,226111,725090,171413,592761,368181,2617,41709,126823,7839,632125,18460,1467648,1176861,8485,745362,148229,39987,729763,32534,688406,7722,590759,1749274,14401,2791,805906,114111,29351,177634,1306
Children,4169004,137954,488,24131,52587,201043,31785,30661,21521,27925,326477,355952,1889,3428,180822,58929,18570,13470,44210,168285,4155,170766,40265,135906,44856,130075,70382,678,9381,12694,2581,122656,2028,259855,221565,1212,163564,33841,18076,151915,6558,124225,3260,127462,365094,8712,576,146098,39704,3340,46944,453
Less Than 1st Grade,67160,0,397,0,0,2270,0,0,0,280,4919,4781,0,991,4445,2215,0,0,0,2600,813,0,2426,0,11604,1206,0,0,0,0,0,2122,0,7640,0,336,0,0,0,13868,0,0,515,0,0,0,0,3732,0,0,0,0
"1st,2nd,3rd,or 4th grade",35087,972,0,0,0,0,0,0,386,161,4163,4069,0,0,2331,0,0,0,0,2736,0,0,0,4266,0,0,0,0,683,0,0,4125,0,1616,0,362,0,0,0,3361,631,993,0,3410,0,0,234,0,0,588,0,0
5th Or 6th Grade,90838,5692,0,0,1603,0,0,0,744,0,15168,9601,0,0,2478,1712,0,0,0,5561,0,2055,3271,2095,0,1829,0,0,489,1418,499,0,0,7461,10661,0,0,0,0,2448,0,4244,0,0,5839,0,0,5970,0,0,0,0
7th and 8th grade,296088,9482,388,2463,3543,5284,0,3626,1510,1532,41589,24705,349,0,6417,6536,661,0,4129,21246,0,22088,4432,5332,3460,12637,1957,0,0,0,0,8988,531,17044,11420,0,12409,3152,0,4905,1938,11883,0,2424,21946,0,0,12557,2980,545,0,0
9th Grade,449609,16797,0,6643,7291,20496,0,3003,3115,2587,42953,36040,383,0,21258,0,1014,0,4395,15410,0,19469,1589,8665,2685,14123,16616,0,777,3837,0,11859,0,36046,25309,978,12983,5018,1528,12879,2422,23869,0,7219,29963,1184,274,15082,0,1194,12656,0
10th Grade,610150,24399,360,2272,11684,13812,0,1792,3008,7338,50285,62930,386,0,18148,10640,5284,2061,4413,27918,0,21632,3812,11132,7396,20558,8506,0,570,2691,0,18442,677,40146,38996,341,19888,6879,1372,22958,705,32856,215,14288,57073,0,472,27701,0,0,4114,0
11th Grade,839657,22079,0,10794,10103,31497,2233,10395,2917,4804,58780,58502,411,0,62590,19452,2397,5489,9889,52165,967,25301,7575,35050,9656,28406,11398,0,1370,0,0,9557,681,68854,55328,0,35501,6054,0,25515,880,28614,472,27531,57424,1136,418,22474,0,581,14417,0
12th Grade No Diploma,378739,16097,0,0,4886,12177,0,5340,4048,1589,48978,31532,0,0,10937,3957,0,5031,6277,19426,0,9067,0,5684,2887,13926,6021,0,0,6710,425,9221,601,46118,13749,419,11217,1357,0,7185,631,12372,429,2555,22649,0,0,30721,0,542,3978,0
High school graduate-high school diploma,4901617,154221,2529,32379,52937,243001,16190,43652,36632,50998,406397,401808,1584,0,203178,74382,5711,20876,37864,208923,0,207237,65773,179393,32001,152065,89549,466,6877,47194,1470,162910,5730,360585,238647,2546,173841,27869,4194,178831,5789,181084,416,157657,369602,2232,213,182541,18171,8630,44375,467
Some College But No Degree,3661979,126335,3575,38779,29041,264473,20397,40106,15750,25827,240933,258662,1104,478,167014,39870,4815,8329,31590,117771,0,173093,25427,153368,31397,92978,63394,1111,13562,19754,860,97022,1853,220364,223841,1320,157073,33741,7445,142347,6158,126379,1987,96924,369065,0,206,124047,9853,6870,25691,0
Assc degree-occupation/vocation,680899,23968,0,2590,8315,32451,2203,5556,2520,2834,44948,53483,354,0,32828,33504,2403,1527,5772,33365,0,16480,11583,14472,2438,21702,7749,0,0,5232,331,13329,0,29233,40870,358,21480,7288,1633,22808,0,26891,226,32887,73337,0,0,35995,0,517,5439,0
Assc degree-academic program,972017,27791,461,15189,12177,42425,7261,3551,2951,5598,76120,110547,752,433,23016,15011,1680,5038,5368,19595,0,47577,10215,50059,2623,36220,21727,210,1458,5052,308,32086,1043,98326,71881,313,20090,1768,0,27255,2758,28835,0,23420,61306,1137,0,35157,7828,0,8206,195
"Bachelor's degree (BA,AB,BS)",2285183,83068,528,16133,31953,105662,12496,16389,8407,22164,189044,205912,1822,426,105156,41373,4264,7270,5930,58865,2215,120656,34280,81008,13834,43298,42014,0,6017,17533,701,87266,2727,163585,143131,300,62127,13063,5739,72441,2128,49564,202,70329,199944,0,189,105936,18660,5435,3808,191
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1149673,34315,792,12513,14292,81400,4650,9827,4238,12033,62102,86982,0,465,91342,18646,0,9800,5276,26638,0,66287,8227,33897,6576,19942,28868,152,525,3569,664,29518,1079,92300,74253,0,47731,6680,0,29971,1439,35487,0,17657,89198,0,209,55693,16915,1109,6416,0
"Professional school degree (MD,DDS,DVM,L",125611,2260,0,0,906,11570,0,4256,0,2969,11214,7472,0,0,4744,0,1314,0,0,2985,0,13792,1679,2619,0,3796,0,0,0,0,0,16400,0,9425,2017,0,0,1519,0,5524,497,0,0,1905,15158,0,0,0,0,0,1590,0
"Doctorate degree (PHD,EDD)",155325,6948,0,0,937,11585,0,0,395,2178,10904,22607,0,490,6052,2262,0,3450,4284,4728,0,14199,5557,2144,0,0,0,0,0,1139,0,6624,1510,9050,5193,0,7458,0,0,5552,0,1110,0,5091,11676,0,0,2202,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic -> Total Asian Only,9583866,19801,22916,110691,23930,3007766,104086,80443,16686,17785,287056,233361,288785,17532,363796,55552,36165,36555,21580,41775,5836,148668,270690,161189,121581,10058,73330,3657,25328,118172,12448,487524,22066,1020344,157448,6078,123241,52839,77438,264843,19576,60733,7619,81528,673586,34238,5384,280997,381942,5889,81203,2132
Children,1549025,2261,2448,20425,3425,427484,15354,13441,1911,1744,40426,58130,24263,3696,58781,7038,5508,4582,2214,6100,2339,29401,30063,22446,19874,3128,11051,918,4557,18414,1919,104036,2521,158642,37909,1273,23817,13732,10721,39545,3727,10016,1639,17674,138797,5116,869,65827,54369,1026,14428,0
Less Than 1st Grade,80959,0,306,0,0,40202,1876,0,0,0,2115,2079,1605,439,0,0,0,0,1192,0,0,0,0,0,5041,0,1345,0,0,0,0,0,0,10453,0,724,2074,0,0,5698,0,0,0,0,2146,0,0,0,0,0,3664,0
"1st,2nd,3rd,or 4th grade",100896,0,237,0,0,37072,2079,0,0,157,2140,4172,722,441,6443,3388,0,2022,0,0,0,2279,2855,1828,0,0,0,0,671,2299,0,2606,1061,7704,3721,0,0,880,3471,4393,0,1455,0,0,2817,0,261,0,3722,0,0,0
5th Or 6th Grade,157187,965,281,1776,0,51170,3661,0,476,172,4044,0,8417,0,0,1928,4440,0,1966,1674,0,2495,0,0,2457,0,3814,0,0,961,0,4466,0,23980,2133,247,1932,0,5788,0,0,0,448,0,4287,937,0,8299,13973,0,0,0
7th and 8th grade,197556,0,1373,4301,1266,35506,1959,2854,0,0,7256,0,7447,436,6065,3498,0,0,0,0,0,0,9012,9450,2070,0,2266,0,2155,2688,390,6938,284,54285,5790,0,1497,1856,0,1911,564,1517,0,0,6842,792,0,5573,5123,0,4592,0
9th Grade,144858,0,466,0,885,45563,1088,0,0,0,2402,2046,2005,0,4762,1942,963,3432,0,0,0,0,9286,5049,1710,0,2198,0,0,4744,0,0,0,16724,6464,0,0,3946,1523,0,0,1448,0,0,17185,0,0,0,3182,292,5553,0
10th Grade,211885,0,582,8462,791,50747,1714,0,472,337,3490,15472,7871,626,1588,4436,0,981,0,1154,1080,10420,4014,1207,3986,1250,7478,178,0,2186,0,9835,0,11802,2057,577,3446,3337,0,14397,0,3001,763,1666,17464,0,238,7589,4754,437,0,0
11th Grade,109891,0,1593,0,0,20315,5742,2708,360,182,1866,1633,2242,799,5555,4288,0,1284,0,653,0,3112,4104,5706,0,0,0,0,0,3610,553,4104,390,16103,1762,0,1908,0,0,0,0,1513,0,1738,8090,1000,0,3181,3553,0,0,244
12th Grade No Diploma,122981,0,0,0,0,46818,0,3402,0,0,5801,2948,2521,0,3221,0,0,0,0,873,0,0,3172,0,2484,0,1840,0,0,3216,0,0,584,22168,0,0,5633,1070,2596,0,0,1376,357,0,7684,0,0,3535,1682,0,0,0
High school graduate-high school diploma,1534393,5038,5823,9622,6303,457983,21523,16220,2533,1932,50617,41725,64863,3672,50446,8226,2785,8785,1721,11104,1817,28586,37104,21538,23439,787,18269,196,4848,21684,2663,40679,5810,192994,25474,906,12803,4840,6667,55814,1975,7012,2219,24482,82695,7461,1147,46609,70097,780,11110,967
Some College But No Degree,981958,2649,1826,19348,1748,436162,6012,4736,1972,1301,32078,23574,43072,2344,27982,1582,2511,2890,5370,5343,0,9084,18133,5947,13489,0,1954,687,1692,14558,1617,29942,446,74321,8155,556,9756,7629,8085,17005,709,9129,297,5272,43005,5499,742,22602,35791,449,12753,154
Assc degree-occupation/vocation,165939,0,1750,0,0,42295,0,1415,0,0,9295,2268,10080,0,11527,4750,0,0,1212,1706,0,0,7191,2064,1691,0,0,223,0,2652,0,2026,0,21999,1854,0,0,0,3027,2003,715,1496,0,0,20008,1791,0,1632,9109,0,0,160
Assc degree-academic program,356439,1096,826,2027,1965,122088,1697,1551,844,0,24302,5166,15777,438,10166,0,1060,0,1346,873,600,6546,2971,9235,5208,0,2408,234,720,8598,0,11575,2410,29542,1749,0,0,1454,4388,6265,0,1704,0,3233,25246,2517,0,10942,25532,0,2140,0
"Bachelor's degree (BA,AB,BS)",2347289,5128,3476,27811,2906,809607,20106,12350,4268,5283,50494,39505,71504,3810,100508,10105,13052,8336,5281,6869,0,33251,71914,47542,13143,2033,18918,784,7043,30472,2841,150086,7030,221479,35348,1795,32102,6039,20388,68078,6636,12491,1628,12293,165370,6212,776,62686,80695,2189,25437,191
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1149110,1777,1174,11228,1632,295217,17477,20307,2490,4313,22895,22356,18975,831,61959,4371,4792,2421,1278,4612,0,17568,52197,25917,16999,944,1789,437,1508,1240,2465,100306,993,105897,19773,0,22556,4969,10784,31946,3280,4315,268,12232,110988,914,676,35478,60431,382,1526,227
"Professional school degree (MD,DDS,DVM,L",143460,0,572,3710,0,34109,3798,0,282,1306,10190,4681,3051,0,7209,0,1054,0,0,0,0,1953,2610,1592,2060,0,0,0,0,0,0,8869,0,20402,1694,0,1521,0,0,9445,666,1361,0,2938,13247,0,429,0,4522,0,0,189
"Doctorate degree (PHD,EDD)",230040,887,183,1981,3009,55428,0,1459,1078,1058,17645,7606,4370,0,7584,0,0,1822,0,814,0,3973,16064,1668,7930,1916,0,0,2134,850,0,12056,537,31849,3565,0,4196,3087,0,8343,1304,2899,0,0,7715,1999,246,7044,5407,334,0,0
