Source: CPS Annual Social and Economic (March) Supplement 201403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assc degree-academic program,5548761,15651,16977,103929,60545,422404,62806,53768,16320,2380,540102,116665,6697,46493,210266,174076,75724,31323,72175,34878,40983,89606,208295,188487,161213,66943,160225,7815,37072,51445,46866,97895,12321,324105,170989,33564,212659,85015,123496,213922,26492,99488,22893,153174,235531,71334,21150,158990,181418,34378,129866,17952
"Bachelor's degree (BA,AB,BS)",17597694,251962,41731,284858,107993,1665823,460224,270859,50298,52837,1027987,446935,14185,73474,862961,300951,215297,224517,162888,216799,77688,305152,650235,718587,473444,115469,374141,91355,123921,98259,108366,688437,116627,1097812,383841,55334,710942,237761,302799,911083,51241,183585,59141,308705,926020,217479,53762,518231,433180,97186,337193,38139
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",7677912,95653,18222,138824,22640,643130,234226,134620,20178,27045,333089,177540,25134,21806,406866,135279,66252,76375,83846,132232,48385,175362,310937,265658,183553,44602,148498,17922,31520,49489,29098,239051,44648,765385,194958,9479,312344,53175,55206,345304,42334,120589,20035,130215,434873,64695,27055,275516,271109,40564,122653,10743
"Professional school degree (MD,DDS,DVM,L",812173,0,0,0,8900,109066,6372,26851,2416,7554,63628,34272,899,0,27302,24113,8625,5889,0,19386,5872,23204,29555,17307,13743,0,9802,0,1463,15397,3148,4041,0,51093,41270,4836,18622,0,10509,39508,7221,6615,2862,33447,34713,14027,3375,13768,41145,0,19461,896
"Doctorate degree (PHD,EDD)",894042,0,1988,32421,3319,80045,41929,15223,5549,6426,42803,42784,1184,4530,19443,41537,25519,5622,0,0,5509,29776,40510,25830,10412,5511,9445,4125,8789,19226,6531,49763,11294,71422,5363,3463,31135,0,24964,28141,2079,0,2411,3283,22478,6770,3596,40205,23014,3351,23736,1588
 -> Total -> Total Female -> Total Non-Hispanic -> Total Black Only,20328591,684960,7487,107463,229772,1178255,97056,159984,90428,170281,1585494,1647690,10185,4096,996021,312006,61249,66489,171558,780295,8650,909567,196496,747048,153308,584832,325296,1482,41651,116339,3534,537666,23193,1425592,1124399,6374,763535,142406,24322,669267,28506,677916,6991,565684,1665951,13264,2665,841345,128634,29929,193311,8669
Children,4153214,138603,2851,15685,46557,205438,15994,30857,15715,26118,347397,336687,0,0,211394,103902,31711,10454,35501,154062,1275,171207,33551,139188,59655,119536,53934,0,13534,30923,0,92349,4665,244565,231964,2310,178396,52925,8407,97634,4421,134138,2703,122722,378890,0,1737,167475,36344,2683,33606,3551
Less Than 1st Grade,40866,0,0,0,0,9520,0,0,0,0,11879,0,0,0,4716,0,0,0,0,0,494,0,0,8126,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3972,0,0,0
"1st,2nd,3rd,or 4th grade",69508,6245,0,0,0,0,1931,0,523,1683,8407,0,0,0,4777,0,0,0,0,4509,1021,0,0,0,0,13447,0,0,0,0,0,0,0,8320,0,0,0,0,0,0,0,0,0,8036,10609,0,0,0,0,0,0,0
5th Or 6th Grade,108461,5539,0,0,0,0,0,0,756,0,11857,17343,0,0,0,0,0,0,4562,3928,0,3101,13604,0,0,9626,0,0,0,0,0,0,0,22318,5479,409,0,0,0,0,0,3714,0,0,6225,0,0,0,0,0,0,0
7th and 8th grade,373717,13428,0,0,0,13343,1686,7022,564,5178,27532,14881,0,0,11568,5726,0,0,4662,21504,0,3183,0,28676,8926,36384,10248,0,8677,0,0,7528,2229,52532,20180,585,18913,0,0,10454,905,8064,0,0,4893,0,928,10024,0,2671,10623,0
9th Grade,440509,0,0,0,0,44048,0,5866,2397,3432,31850,54773,0,0,21483,8786,0,4421,0,16983,0,12168,5758,4154,4368,3967,6780,0,0,0,0,9842,0,52884,47410,0,5353,0,0,7765,2366,14450,0,17293,25541,0,0,20832,0,0,5539,0
10th Grade,623363,38785,0,4589,2130,44390,7442,4528,2538,4265,45529,42060,0,0,22970,0,1611,1943,0,30527,1313,27139,0,39103,2755,33108,6320,0,3332,0,0,6276,2083,53622,30106,1242,48594,11640,0,5345,0,24519,0,3239,30852,0,0,32094,2844,0,4530,0
11th Grade,966900,19778,0,10555,14842,50887,2336,8378,4182,10087,95031,87949,0,0,46088,17940,6440,0,0,70586,0,21182,0,51176,0,40973,6089,0,0,7238,0,43675,0,31332,53588,506,16409,0,3051,22979,2292,67327,990,39700,51686,4912,0,26730,10546,5164,14276,0
12th Grade No Diploma,316360,45783,0,0,9716,8330,0,1570,1252,2950,39311,0,0,0,19984,11431,0,0,10947,8766,0,4058,0,22164,9922,2887,0,0,0,0,0,16449,0,14477,22094,0,16522,3899,0,7288,1252,10611,0,4392,13015,0,0,7290,0,0,0,0
High school graduate-high school diploma,4868865,162575,2305,22997,68466,221597,15410,32128,23968,49235,438691,448426,0,1986,175903,88840,12238,14541,35768,189912,1458,209680,32631,163593,31793,157505,82042,0,8061,31556,934,118971,0,299558,269598,0,181460,22253,0,258313,6191,209847,2587,119743,379820,4091,0,195460,14364,3422,58948,0
Some College But No Degree,3523858,108958,1231,32026,30719,191979,12756,32589,19387,30818,185208,260430,2423,2110,245051,27523,2864,19348,9006,130194,1173,188155,44038,133161,10632,89842,95193,0,5746,12558,0,85818,7555,285842,202330,632,124679,24619,0,160135,5110,80265,0,121210,347149,0,0,103618,19496,5355,24927,0
Assc degree-occupation/vocation,624226,34376,0,4466,10598,90625,6237,4081,1641,0,51099,33087,0,0,20933,0,0,0,4163,32465,0,32292,0,21276,0,3113,4440,0,0,0,1539,39865,0,45443,32969,0,14157,3278,2849,6539,0,10586,0,4556,56543,0,0,40899,5709,0,4402,0
Assc degree-academic program,957261,37522,0,0,11296,59340,8655,5551,0,4228,123883,65038,0,0,41174,21016,4349,4067,32065,19316,1232,28949,12411,19872,9134,24543,12940,0,0,3347,0,21264,0,46920,63064,0,65742,10830,2700,20474,0,35446,0,20985,60350,0,0,51437,8121,0,0,0
"Bachelor's degree (BA,AB,BS)",1987158,44573,1100,3997,28769,139758,11395,14878,10211,15873,93656,154288,5379,0,68270,19361,2036,11715,10358,67387,684,122880,45380,71607,11611,35935,30784,1482,2301,12512,1061,52137,4467,173328,105921,0,59646,9941,7315,48538,5969,66399,0,63415,180059,4261,0,111956,24243,6440,18764,5118
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1031560,19341,0,8500,6679,86580,10889,8487,6584,11018,56573,85070,2383,0,71811,7481,0,0,18027,26133,0,77918,9123,34440,2353,10803,16526,0,0,11565,0,43492,0,81091,39696,690,21699,3021,0,12390,0,8222,0,40393,107505,0,0,60192,2995,4194,17696,0
"Professional school degree (MD,DDS,DVM,L",111786,0,0,0,0,7768,2325,4049,0,2082,12876,4987,0,0,12925,0,0,0,6499,4023,0,7655,0,3032,0,3163,0,0,0,6640,0,0,0,13360,0,0,5567,0,0,5433,0,0,0,0,0,0,0,9402,0,0,0,0
"Doctorate degree (PHD,EDD)",130979,9454,0,4648,0,4652,0,0,710,3314,4715,42671,0,0,16974,0,0,0,0,0,0,0,0,7480,0,0,0,0,0,0,0,0,2194,0,0,0,6398,0,0,5980,0,4328,711,0,12814,0,0,3936,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic -> Total Asian Only,8843600,30183,14895,221229,23481,2927569,121473,124488,17909,13282,321696,171742,242779,22107,271333,68392,46815,26553,35751,23418,5773,145810,195567,141878,154665,24471,61419,1971,21413,148259,14716,314943,0,1025675,157023,8103,67129,54463,90000,208645,33557,25754,9621,45512,588760,28141,3125,181116,265099,3910,88957,3030
Children,1497330,0,1554,30360,3338,477473,14781,26581,2340,0,47502,35810,19979,2527,54897,5660,12670,2924,12034,0,1224,22452,45802,20735,40616,8873,16399,0,1302,27324,2912,57321,0,113918,58468,955,20170,17044,18766,24886,7131,5310,2505,3948,128016,10727,0,8347,49405,0,31454,890
Less Than 1st Grade,124397,0,0,8132,0,41047,0,2834,0,0,5707,0,769,0,4813,0,0,0,0,0,0,0,14258,0,11768,0,0,0,0,0,0,6840,0,13749,0,656,0,4293,0,0,0,0,0,0,5836,0,0,0,0,0,3695,0
"1st,2nd,3rd,or 4th grade",81323,0,891,0,0,29374,3366,0,0,0,6654,0,1771,0,0,0,0,0,0,0,0,0,4955,4535,0,0,0,0,0,1740,0,0,0,13338,0,696,0,0,0,0,969,0,0,7198,5836,0,0,0,0,0,0,0
5th Or 6th Grade,128989,0,1023,0,0,43619,0,0,0,0,14028,0,8849,2129,0,0,0,0,5242,0,0,0,6673,0,0,0,0,0,0,3306,0,9335,0,10152,6431,0,0,0,0,0,0,0,0,0,14091,0,0,4111,0,0,0,0
7th and 8th grade,146721,0,420,18617,2060,25638,2481,0,0,1089,5374,0,1897,0,4183,0,0,0,0,0,953,0,5431,4192,2302,0,0,0,0,3954,0,13925,0,27763,0,0,0,0,0,0,0,0,0,0,8703,0,0,4998,5160,0,7581,0
9th Grade,197024,0,0,4487,0,51501,2753,9260,0,0,6254,0,3796,0,0,0,1813,0,2827,0,0,0,0,2794,2489,0,0,0,1483,3487,0,4429,0,68205,0,0,0,0,0,3533,0,0,0,0,8198,4420,0,7765,2610,0,4920,0
10th Grade,230987,0,0,0,2904,71007,0,6331,0,478,11880,0,5026,0,10996,0,0,0,0,0,1624,0,0,5018,5101,0,0,0,0,1873,869,17929,0,31900,0,0,5157,0,6692,4463,2702,0,1279,0,14123,0,0,0,14310,0,8777,548
11th Grade,189594,0,0,0,1524,71353,4597,2360,0,0,0,6210,3251,0,3453,8513,4528,2379,0,0,0,3495,4962,5960,0,5808,0,0,1093,0,0,0,0,33157,4728,0,3629,0,2655,5496,0,0,0,5282,0,0,0,5161,0,0,0,0
12th Grade No Diploma,111377,0,0,0,0,39628,0,0,0,0,5594,0,1547,0,10434,0,0,0,0,0,0,0,0,0,9557,3905,3648,0,1093,0,0,7114,0,23396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5461,0
High school graduate-high school diploma,1277052,5162,2341,30625,5549,335868,35719,11378,1369,0,69119,21373,54922,4033,30085,14744,7086,8599,7145,3876,0,24019,5827,47328,14000,0,5504,0,4043,52786,0,13303,0,138722,28078,4621,10537,8353,14730,63636,6918,0,2555,16740,51143,2489,1142,43137,50013,2410,16025,0
Some College But No Degree,943487,7568,2559,39658,5615,311857,21990,7565,1014,2384,18807,9404,37434,0,46008,6779,2086,2487,2803,0,0,14611,16060,0,12070,2855,16156,1971,0,20614,976,16170,0,109652,19546,0,0,17914,16903,32827,4163,0,1807,5510,67070,0,0,7469,30050,0,3075,0
Assc degree-occupation/vocation,125802,0,490,0,0,58607,3620,0,0,0,0,0,19629,2250,0,0,0,0,0,0,0,0,0,0,4113,0,0,0,0,1589,0,5509,0,16383,3547,0,0,0,0,0,1313,0,0,0,5636,3116,0,0,0,0,0,0
Assc degree-academic program,266337,0,0,6577,0,127310,2622,7048,0,0,13140,5381,9201,0,4800,0,2636,0,0,0,0,9198,11241,0,0,0,0,0,0,5446,0,8380,0,31520,0,0,4357,0,0,0,0,0,0,0,0,0,0,17480,0,0,0,0
"Bachelor's degree (BA,AB,BS)",2314339,17453,4343,32648,0,880086,14150,26296,7802,3666,87596,65677,54383,4739,47979,24355,6524,7611,0,8235,0,48460,47631,39415,30920,3030,14413,0,7396,20757,6251,101688,0,303408,16871,669,8582,6859,20222,35465,5777,11510,932,6834,136506,5143,1983,54804,80695,0,4178,397
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",885514,0,599,32981,2491,283848,8664,13548,4152,1947,30041,22853,13274,6429,37683,0,6870,2553,0,0,1972,14802,11298,11901,18967,0,0,0,5003,3033,2706,43056,0,68608,19354,506,14697,0,2663,26574,2818,5382,0,0,108048,2246,0,21933,27491,0,3791,732
"Professional school degree (MD,DDS,DVM,L",161946,0,675,17144,0,38919,3364,0,616,904,0,0,2898,0,9749,3960,0,0,0,0,0,0,9483,0,0,0,5299,0,0,0,0,5784,0,21804,0,0,0,0,7369,5613,806,0,0,0,20694,0,0,0,5365,1500,0,0
"Doctorate degree (PHD,EDD)",161381,0,0,0,0,40434,3366,11287,616,2814,0,5034,4153,0,6253,4381,2602,0,5700,11307,0,8773,11946,0,2762,0,0,0,0,2350,1002,4160,0,0,0,0,0,0,0,6152,960,3552,543,0,14860,0,0,5911,0,0,0,463
