Source: CPS Annual Social and Economic (March) Supplement 202103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11th Grade,1981637,46017,2482,38192,28814,74645,27088,30178,6204,617,111339,62669,404,14975,64802,73972,37492,26978,38518,41915,10944,18598,41682,75542,65881,29676,53473,8428,19988,13853,13382,37780,7441,104729,72600,3652,132544,35491,32121,84619,12478,34209,3739,65701,99965,31202,8035,43151,34335,21583,33588,3926
12th Grade No Diploma,803579,21498,1558,4259,14710,66640,3859,2735,2179,248,34764,22977,887,1499,42128,24281,3844,7409,17471,17408,3652,8651,7979,16464,8560,9609,30880,3553,5934,6310,5363,14738,0,88241,30498,1053,43854,7579,12425,28484,518,6373,2712,20902,81998,8743,1424,13237,21941,4553,15756,1241
High school graduate-high school diploma,20821131,397310,44555,316762,280465,1078293,251430,284665,86592,3117,1329277,563948,24753,155459,781272,692530,323294,193069,488531,351024,170769,270860,420117,897484,334387,192087,605291,93093,124920,149836,133052,500747,64404,1073091,686797,60242,1229016,312076,325933,1250782,72384,393650,63075,691744,1045131,203099,59867,456173,449224,250941,536751,57762
Some College But No Degree,13791460,272177,31792,352043,162167,1089604,258795,171558,41916,8889,818526,393685,18819,127736,505574,367376,174502,170735,259108,195294,84521,159353,265663,576968,297733,135481,314676,81534,122426,154682,76744,202858,67917,579660,431281,50147,635405,183386,288515,560864,33956,253873,53612,317621,907515,251348,36013,368714,414530,108139,312318,43711
Assc degree-occupation/vocation,3652320,59030,6855,48051,42222,210276,71372,20670,12367,0,201824,101029,1665,27463,133843,88814,74078,38148,92973,52397,18115,35385,78238,135417,173564,39596,93446,23634,27308,25863,20983,66153,11646,117236,152747,19857,178960,32054,57328,159808,14703,70915,29725,79997,218139,45537,8354,92034,104467,30418,201534,6082
Assc degree-academic program,5659614,83724,13201,143617,48833,513931,89610,35870,23350,1443,370648,152456,4752,44404,179951,135675,79879,62730,84726,40347,52207,75175,99593,281121,141301,51230,126610,29025,37900,52821,50411,137978,27339,372134,194061,26931,207613,62752,59963,227556,27140,106922,25756,146844,281475,89134,16528,120240,247417,44554,115286,15450
"Bachelor's degree (BA,AB,BS)",20558624,250084,33540,461919,185476,1774775,569574,235512,55358,42749,1351678,557209,30845,140951,877400,461362,260340,237741,217972,216128,118143,311217,587788,636232,529185,110651,370244,101565,175674,148520,134671,654113,98452,1146102,606199,51216,737188,224368,377506,977662,106436,301992,71461,423180,1482959,233039,69242,626266,536748,96004,516845,37143
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",9829470,115011,16082,207066,77784,840006,283439,135569,22493,42588,459007,202716,20919,46869,434915,187862,76750,100957,142317,85556,54637,265807,392192,366040,160345,59531,207789,31045,67259,71533,55632,328412,58763,885929,326785,13515,340199,73218,153758,511921,52957,133055,21067,204402,577401,101051,33666,332539,226939,50674,160335,13168
"Professional school degree (MD,DDS,DVM,L",1024655,9706,976,21949,10589,115224,30803,23611,2527,12664,66642,53830,676,1294,56984,10359,1362,9272,25957,7768,3048,11008,65384,37944,12779,8088,13603,4317,4522,9272,5219,34059,1357,48777,15150,1313,36946,6171,20430,43807,2182,7516,976,20275,49566,7673,4361,39189,21500,1494,23082,1454
"Doctorate degree (PHD,EDD)",1449272,12658,4179,38330,14312,118146,32621,29127,7769,8498,58231,37383,7441,7837,39513,52235,19823,14332,6590,7372,10315,31006,69595,37272,33775,7173,27552,5323,11742,3693,5057,16240,10608,95627,77510,3073,46020,20933,22746,101752,12327,25055,5465,31039,95615,5789,5079,56214,34340,8040,14597,2303
 -> Total -> Total Female -> Total Non-Hispanic -> Total Black Only,21497178,701449,10719,190255,245542,1094435,125588,211486,108948,171308,1728771,1819754,10313,6778,923582,347397,48635,77930,188640,785835,10187,982845,274654,722196,195740,591480,368270,1350,43714,146137,11025,626258,19185,1379740,1184773,12390,771478,131925,36269,736348,38123,732744,9013,599575,1864435,10539,3689,849257,154460,28300,160380,3334
Children,4181991,127450,2941,46386,53219,188579,32935,43052,14766,28843,363992,372438,1598,2086,164045,82444,16869,14449,41357,164072,3321,161630,52521,142478,47696,117391,76439,292,14405,22452,1770,113249,2591,233967,205366,4366,156322,23207,2564,151940,11379,138614,4866,106501,399000,3414,793,149101,29878,6538,35436,983
Less Than 1st Grade,30740,1415,0,0,0,2109,0,0,0,742,7668,0,0,0,0,0,1671,0,2792,0,0,0,3039,0,6933,956,0,0,894,0,0,0,0,2385,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",51436,0,0,0,0,5727,0,0,0,192,6059,3206,0,411,2291,0,1050,0,1687,4018,0,0,1629,0,4380,0,0,0,0,0,0,2502,0,5671,4440,206,0,0,0,0,0,0,0,2236,0,0,195,5536,0,0,0,0
5th Or 6th Grade,77835,1948,0,0,1052,4132,0,0,0,196,13669,6340,0,0,5985,3131,0,0,0,3386,0,5584,0,0,2929,1696,0,0,0,0,0,0,0,7275,0,0,3030,0,0,0,644,1260,0,1868,2233,0,0,8099,0,425,2953,0
7th and 8th grade,220485,4581,310,2276,4548,1322,1875,0,1685,584,11668,29140,0,294,12830,6358,1655,2933,2425,9671,0,2629,1255,6070,9887,8954,5561,134,1352,0,0,5408,0,10109,10969,116,10967,1414,0,2434,0,7535,355,8505,14527,0,0,10040,3359,0,4750,0
9th Grade,396299,16361,287,1861,1089,22431,7347,8064,4187,1913,13925,32446,0,294,8050,7980,0,1118,1217,20654,431,15065,8432,5507,3311,14206,15007,0,2508,2844,0,7930,0,26274,15452,0,19709,2507,0,17359,570,22036,0,7089,30386,961,230,19605,9233,423,0,0
10th Grade,461337,20433,0,1749,2700,24410,0,6748,1446,4271,68678,16688,0,589,8759,11520,0,3550,4484,21563,764,11696,6283,15965,5261,17848,2347,0,0,1152,1907,10581,0,32345,15660,0,9988,2782,0,19254,987,24672,937,15600,38214,0,0,23694,4914,601,0,297
11th Grade,683401,27881,0,2143,12964,25434,9416,9145,5374,4596,41474,69754,0,477,39284,11466,1126,1112,4791,26735,624,11893,3193,36544,0,29240,24675,0,1952,4856,0,9070,548,29950,17166,0,34143,6441,0,35398,734,38939,0,18973,62255,0,442,16259,4787,1591,0,556
12th Grade No Diploma,384607,15882,0,2869,6353,18315,4862,2062,387,5377,38810,25298,0,0,9136,4252,0,0,1165,19228,0,6125,3728,6366,0,14611,8344,0,0,3091,0,25841,0,33817,21238,0,14195,0,0,2791,0,9695,0,12431,39035,0,0,16775,4301,0,8227,0
High school graduate-high school diploma,5189581,177373,2013,44308,66173,231725,23257,38544,35619,43220,454426,455139,1022,1176,186932,90681,13105,26122,56524,216905,540,195697,56090,189427,32212,150027,51300,400,7187,43762,1634,151882,4724,336196,320418,2045,241065,32119,10756,145293,8604,193688,0,184417,396090,757,591,184461,35456,6038,41671,770
Some College But No Degree,3291573,131626,1884,30660,37134,169951,26631,44267,20314,18235,194248,251087,4413,537,198690,53988,2869,3813,25503,130273,2821,168005,36800,134198,23164,99958,52820,384,7938,34639,0,101061,3380,165156,192918,2599,107322,24183,6843,131442,4507,96608,2215,83290,270508,2169,0,126017,28746,3915,31352,492
Assc degree-occupation/vocation,710083,33524,378,8481,5455,38432,2152,0,4403,3070,55309,58303,0,481,35059,14308,1025,7080,2424,34727,0,18083,12630,13686,2096,24870,15958,0,894,5276,0,4256,1519,34022,47014,0,39026,7606,1554,13657,2346,26248,0,19884,72266,0,0,27550,0,1541,13490,0
Assc degree-academic program,1111565,25785,0,9626,12684,46917,6408,10305,3155,6138,110298,105150,1097,0,50110,8629,4190,6733,9748,36317,1152,43192,12447,46724,15319,28019,36433,0,0,3449,1832,8654,764,66134,81225,662,36411,3589,2964,50403,3071,41045,0,36357,78189,0,0,53426,0,1630,5184,0
"Bachelor's degree (BA,AB,BS)",2839137,66171,2563,31477,33605,175872,2159,28380,11133,27101,245082,253883,1484,433,101920,40750,3519,4915,20696,63605,534,196282,39613,56892,27758,50944,50986,140,5042,7681,0,108442,1530,222043,141550,1684,63050,15415,7975,120199,2776,81632,640,57017,283905,0,670,138732,29592,2893,8772,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1515748,38862,343,3292,7767,113055,6382,12545,6479,20532,89238,114523,699,0,82767,11890,1556,4711,11929,29933,0,111230,27524,48560,8359,26442,24576,0,1542,14792,1797,56410,4129,135905,96454,375,34047,10772,1637,30919,2505,48426,0,40066,155878,2096,768,59046,4194,2015,8545,236
"Professional school degree (MD,DDS,DVM,L",133065,6198,0,0,0,11392,0,0,0,2992,4724,14879,0,0,11537,0,0,0,0,2835,0,14015,3379,8752,0,2804,0,0,0,1174,2085,2622,0,15021,2281,201,0,0,0,7561,0,0,0,5341,8371,0,0,4211,0,690,0,0
"Doctorate degree (PHD,EDD)",218295,5959,0,5127,799,14632,2164,8374,0,3306,9503,11480,0,0,6187,0,0,1394,1898,1913,0,21719,6091,11027,6435,3514,3824,0,0,969,0,18350,0,23470,12622,0,2203,1890,1976,7698,0,2346,0,0,13578,1142,0,6705,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic -> Total Asian Only,10224586,32663,22991,134138,18594,3133835,109223,114400,25270,17278,340493,235358,278500,14995,390143,73335,43700,34377,67299,55211,3002,298705,255930,159066,160941,13930,69052,5180,10682,136392,29044,537338,15961,971897,156068,7291,102864,42709,116913,210081,19286,46453,11623,65466,845033,28430,4027,279706,382391,9730,86381,1211
Children,1592701,7802,3427,23003,5139,420290,18786,18099,5254,1028,39871,38298,29658,0,56345,10652,7743,5281,12644,10792,0,40753,44177,33810,22229,0,2178,361,1229,15596,3165,118331,2188,158016,32225,1041,14825,10331,27666,29220,4066,0,3061,4345,154572,5278,1254,43023,78293,1221,26135,0
Less Than 1st Grade,80863,0,309,0,0,14359,2117,0,0,198,2931,3395,1532,397,2849,0,4760,0,0,822,0,1698,1679,0,2088,0,0,0,0,0,0,2069,0,9021,6809,0,0,0,1274,0,0,0,368,0,14758,1065,0,4253,2112,0,0,0
"1st,2nd,3rd,or 4th grade",43672,0,0,3182,0,4569,0,0,387,0,2546,0,3212,0,1895,0,0,0,0,2169,0,0,0,3867,0,0,0,0,516,0,579,0,0,3445,1880,0,0,1252,0,2074,0,0,339,1983,1982,2033,0,2046,3716,0,0,0
5th Or 6th Grade,105610,0,266,0,0,47617,0,2277,0,0,0,0,7051,0,4385,4834,0,0,0,0,0,4566,1865,5885,2811,720,0,0,0,1329,0,2252,0,8792,2373,0,0,0,0,0,547,1536,0,0,2201,0,0,4303,0,0,0,0
7th and 8th grade,157228,0,428,1204,941,34828,0,0,663,0,5534,1097,1122,0,5606,2311,0,2633,1960,1957,0,3392,3057,0,7286,1033,0,0,0,2199,0,4456,0,37092,2244,0,3040,1058,1543,4855,0,6557,604,0,2720,0,0,3737,9881,0,2190,0
9th Grade,153927,923,537,0,0,47329,1993,2221,0,264,4554,2075,3596,0,0,0,1575,0,1566,0,0,5538,0,0,0,0,0,310,624,0,377,11492,525,15385,0,0,2182,2977,1257,10908,0,1289,863,1581,16030,0,0,9068,6888,0,0,0
10th Grade,171675,0,364,0,0,59288,1643,0,740,0,8102,3731,5453,0,2720,2384,0,0,0,1077,0,5063,7648,1923,0,0,0,0,0,1309,0,4455,0,16385,4168,251,0,1118,0,6935,0,1377,816,5089,13778,0,0,9155,6703,0,0,0
11th Grade,173882,2226,0,4653,0,42728,2573,0,0,264,9957,2554,3594,0,19839,0,1412,0,0,972,0,8998,0,0,4783,743,2427,0,0,875,2361,15599,0,12170,0,0,4459,0,1420,0,0,0,1597,0,18423,0,226,4164,1483,0,3382,0
12th Grade No Diploma,124691,2736,590,2014,0,32172,0,0,0,0,12386,2050,2739,0,0,0,1309,0,0,1054,0,13366,3961,0,2870,878,0,0,0,0,830,0,0,18403,2482,0,2743,1243,0,5758,0,0,0,0,13313,0,0,0,1794,0,0,0
High school graduate-high school diploma,1488521,4802,7605,10711,3015,442677,14090,10139,2405,722,65570,27279,62616,4517,40310,9819,9605,5188,23018,13278,1019,36182,32260,24415,31002,865,7917,652,1540,29978,4146,30427,3795,188108,21459,2272,28611,15574,13882,34188,3849,11593,1655,15796,94719,871,307,30845,43194,1154,18605,275
Some College But No Degree,875892,1196,2995,9307,1329,272944,13817,23981,3489,194,16668,7430,30023,1017,32482,7280,5685,3408,4714,10032,1013,22224,19729,15163,28952,2911,8360,941,1632,29982,2145,44650,553,47256,6855,1211,3058,1081,16341,7150,1843,5006,0,5333,97834,5584,282,16563,23049,0,11200,0
Assc degree-occupation/vocation,231733,0,255,0,0,87721,0,0,0,0,4011,8386,14280,1063,21127,2000,0,0,0,1956,0,3829,1836,0,11400,868,0,0,0,4105,463,1835,0,12195,2229,241,0,1158,3532,13974,0,0,0,2544,6628,962,344,6016,16775,0,0,0
Assc degree-academic program,350278,0,2339,1694,980,103534,6073,7324,1881,160,21033,9318,16997,0,12269,8385,0,2486,1507,0,0,11605,11355,3468,6619,0,0,827,0,905,950,20173,1482,30942,9395,288,0,1204,2189,4213,747,2045,366,1495,25043,875,221,4327,11430,0,1936,198
"Bachelor's degree (BA,AB,BS)",2841126,7616,2536,49009,4761,971077,27579,30143,3303,6336,98942,82377,73260,4936,114451,17958,4653,5725,11048,6370,0,67848,56529,44541,28773,3992,23242,1086,2843,35514,8907,149580,3974,295115,35746,935,24702,4364,23233,39153,5124,14111,1297,15900,223461,6944,808,69431,109364,6148,16009,372
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1364208,2937,1072,24240,2429,426717,18615,10321,4744,5547,26059,37184,15659,958,53246,4156,2754,6868,9183,4732,970,46782,53076,20650,12128,1151,12586,774,2298,9724,4602,111504,2266,83110,25963,1052,14938,1349,14880,34105,1121,2939,0,9336,119943,1792,585,55764,54824,650,5559,366
"Professional school degree (MD,DDS,DVM,L",147081,1311,0,2784,0,41977,1937,3570,0,1073,9399,8001,1954,0,5821,0,1495,0,1659,0,0,4514,3900,0,0,0,4058,0,0,992,0,9465,629,15212,0,0,1852,0,2432,2797,0,0,0,0,10654,0,0,1639,6034,557,1365,0
"Doctorate degree (PHD,EDD)",321498,1114,268,2337,0,84008,0,6325,2404,1492,12930,2183,5754,2107,16798,3556,2709,2788,0,0,0,22347,14858,5344,0,769,8284,229,0,3884,519,11050,549,21250,2240,0,2454,0,7264,14751,1989,0,657,2064,28974,3026,0,15372,6851,0,0,0
