state_code,state_fips,zip_code
ME,23,4981
ME,23,4645
ME,23,4681
ME,23,4982
ME,23,4983
ME,23,4683
ME,23,4684
ME,23,4685
ME,23,4984
ME,23,4860
ME,23,4861
ME,23,4986
ME,23,4490
ME,23,4086
ME,23,4571
ME,23,4987
ME,23,4282
ME,23,4862
ME,23,4988
ME,23,4745
ME,23,4785
ME,23,4454
ME,23,4491
ME,23,4989
ME,23,4360
ME,23,4863
ME,23,4572
ME,23,4573
ME,23,4864
ME,23,4786
ME,23,4574
ME,23,4087
ME,23,4088
ME,23,4901
ME,23,4903
ME,23,4284
ME,23,4285
ME,23,4090
ME,23,4091
ME,23,4575
ME,23,4287
ME,23,4092
ME,23,4098
ME,23,4093
ME,23,4493
ME,23,4992
ME,23,4787
ME,23,4985
ME,23,4094
ME,23,4288
ME,23,4095
ME,23,4289
ME,23,4290
ME,23,4291
ME,23,4865
ME,23,4576
ME,23,4292
ME,23,4691
ME,23,4294
ME,23,4363
ME,23,4495
ME,23,4693
ME,23,4496
ME,23,4364
ME,23,4578
ME,23,4694
ME,23,4579
ME,23,4497
ME,23,4096
ME,23,4097
ME,23,3909
ME,23,3910
ME,23,3911
NH,33,3601
NH,33,3602
NH,33,3607
NH,33,3809
NH,33,3810
NH,33,3031
NH,33,3216
NH,33,3440
NH,33,3217
NH,33,3441
NH,33,3811
NH,33,3032
NH,33,3218
NH,33,3825
NH,33,3812
NH,33,3740
NH,33,3220
NH,33,3442
NH,33,3570
NH,33,3574
NH,33,3221
NH,33,3222
NH,33,3033
NH,33,3215
NH,33,3223
NH,33,3285
NH,33,3741
NH,33,3034
NH,33,3040
NH,33,3224
NH,33,3225
NH,33,3813
NH,33,3226
NH,33,3814
NH,33,3227
NH,33,3603
NH,33,3036
NH,33,3443
NH,33,3817
NH,33,3743
NH,33,3576
NH,33,3301
NH,33,3302
NH,33,3303
NH,33,3304
NH,33,3305
NH,33,3307
NH,33,3229
NH,33,3818
NH,33,3745
NH,33,3746
NH,33,3230
NH,33,3819
NH,33,3037
NH,33,3038
NH,33,3820
NH,33,3821
NH,33,3822
NH,33,3823
NH,33,3444
NH,33,3824
NH,33,3861
NH,33,3231
NH,33,3041
NH,33,3826
NH,33,3827
NH,33,3605
NH,33,3445
NH,33,3457
NH,33,3446
NH,33,3830
NH,33,3233
NH,33,3748
NH,33,3749
NH,33,3042
NH,33,3234
NH,33,3258
NH,33,3579
NH,33,3750
NH,33,3833
NH,33,3835
NH,33,3447
NH,33,3043
NH,33,3580
NH,33,3235
NH,33,3836
NH,33,3044
NH,33,3751
NH,33,3237
NH,33,3837
NH,33,3448
NH,33,3838
NH,33,3238
NH,33,3045
NH,33,3046
NH,33,3581
NH,33,3593
NH,33,3752
NH,33,3240
NH,33,3753
NH,33,3047
NH,33,3840
NH,33,3048
NH,33,3582
NH,33,3754
NH,33,3841
NH,33,3842
NH,33,3843
NH,33,3844
NH,33,3449
NH,33,3755
NH,33,3450
NH,33,3765
NH,33,3241
NH,33,3242
NH,33,3243
NH,33,3244
NH,33,3451
NH,33,3245
NH,33,3049
NH,33,3051
NH,33,3052
NH,33,3845
NH,33,3846
NH,33,3452
NH,33,3583
NH,33,3847
NH,33,3431
NH,33,3435
NH,33,3848
NH,33,3246
NH,33,3247
NH,33,3249
NH,33,3584
NH,33,3756
NH,33,3766
NH,33,3784
NH,33,3251
NH,33,3585
NH,33,3586
NH,33,3561
NH,33,3252
NH,33,3053
NH,33,3768
NH,33,3769
NH,33,3832
NH,33,3849
NH,33,3101
NH,33,3102
NH,33,3103
NH,33,3104
NH,33,3105
NH,33,3106
NH,33,3107
NH,33,3108
NH,33,3109
NH,33,3110
NH,33,3111
NH,33,3455
NH,33,3456
NH,33,3464
NH,33,3850
NH,33,3253
NH,33,3770
NH,33,3054
NH,33,3588
NH,33,3055
NH,33,3851
NH,33,3852
NH,33,3853
NH,33,3771
NH,33,3057
NH,33,3254
NH,33,3060
NH,33,3061
NH,33,3062
NH,33,3063
NH,33,3064
NH,33,3070
NH,33,3255
NH,33,3272
NH,33,3854
NH,33,3855
NH,33,3856
NH,33,3256
NH,33,3071
NH,33,3257
NH,33,3857
NH,33,3773
NH,33,3858
NH,33,3859
NH,33,3860
NH,33,3862
NH,33,3774
NH,33,3073
NH,33,3259
NH,33,3590
NH,33,3260
NH,33,3261
NH,33,3262
NH,33,3293
NH,33,3290
NH,33,3777
NH,33,3864
NH,33,3076
NH,33,3458
NH,33,3779
NH,33,3780
NH,33,3592
NH,33,3263
NH,33,3781
NH,33,3865
NH,33,3264
NH,33,3801
NH,33,3802
NH,33,3803
NH,33,3804
NH,33,3805
NH,33,3077
NH,33,3461
NH,33,3839
NH,33,3866
NH,33,3867
NH,33,3868
NH,33,3869
NH,33,3266
NH,33,3274
NH,33,3870
NH,33,3871
NH,33,3079
NH,33,3268
NH,33,3269
NH,33,3872
NH,33,3873
NH,33,3874
NH,33,3875
NH,33,3878
NH,33,3882
NH,33,3082
NH,33,3273
NH,33,3883
NH,33,3462
NH,33,3815
NH,33,3884
NH,33,3885
NH,33,3782
NH,33,3275
NH,33,3886
NH,33,3897
NH,33,3084
NH,33,3276
NH,33,3298
NH,33,3299
NH,33,3465
NH,33,3575
NH,33,3589
NH,33,3595
NH,33,3887
NH,33,3604
NH,33,3608
NH,33,3609
NH,33,3278
NH,33,3279
NH,33,3280
NH,33,3281
NH,33,3282
NH,33,3466
NH,33,3467
NH,33,3291
NH,33,3890
NH,33,3468
NH,33,3284
NH,33,3597
NH,33,3469
NH,33,3598
NH,33,3287
NH,33,3086
NH,33,3470
NH,33,3087
NH,33,3289
NH,33,3816
NH,33,3894
NH,33,3896
NH,33,3785
VT,50,5820
VT,50,5440
VT,50,5250
VT,50,5030
VT,50,5441
VT,50,5031
VT,50,5821
VT,50,5641
VT,50,5822
VT,50,5839
VT,50,5875
VT,50,5823
VT,50,5902
VT,50,5101
VT,50,5730
VT,50,5201
VT,50,5032
VT,50,5732
VT,50,5340
VT,50,5033
VT,50,5733
VT,50,5301
VT,50,5302
VT,50,5303
VT,50,5304
VT,50,5034
VT,50,5035
VT,50,5734
VT,50,5443
VT,50,5036
VT,50,5037
VT,50,5401
VT,50,5402
VT,50,5403
VT,50,5404
VT,50,5405
VT,50,5406
VT,50,5407
VT,50,5408
VT,50,5647
VT,50,5648
VT,50,5444
VT,50,5141
VT,50,5901
VT,50,5903
VT,50,5735
VT,50,5142
VT,50,5445
VT,50,5038
VT,50,5143
VT,50,5144
VT,50,5737
VT,50,5439
VT,50,5446
VT,50,5449
VT,50,5824
VT,50,5039
VT,50,5825
VT,50,5826
VT,50,5827
VT,50,5738
VT,50,5739
VT,50,5828
VT,50,5829
VT,50,5830
VT,50,5251
VT,50,5252
VT,50,5649
VT,50,5832
VT,50,5640
VT,50,5650
VT,50,5833
VT,50,5040
VT,50,5076
VT,50,5253
VT,50,5341
VT,50,5448
VT,50,5836
VT,50,5837
VT,50,5740
VT,50,5766
VT,50,5651
VT,50,5666
VT,50,5041
VT,50,5042
VT,50,5838
VT,50,5043
VT,50,5742
VT,50,5652
VT,50,5653
VT,50,5447
